report_date, total_purchase_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb30, zfb31, zfb32, zfb33, zfb34, zfb35, zfb36, zfb37, bank00, bank01, bank02, bank03, bank04, bank05, bank06, bank07, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, share
20130711,92533829,0,0,0,0,0,0,0,0,0,1541406,800756,787445,393111,3944602,59440,128526,0,7925022,18073589,14843811,3475597,9718188,2030142,1001,0,65287,929712,554704,1017821,538923,867,15316,0,0,0,0,0,0,0,0,0,0,3235417,0,1213239,0,0,0,0,2965328,596302,203342,0,990591,0,0,0,2233157,6066117,3591207,1013860,2962903,305891,139035,172174
20130712,88590123,0,0,0,0,0,0,0,0,0,27626,1035102,3712927,374150,3185675,0,0,0,1093213,35168843,2219532,1233936,4108672,2376492,1809393,0,707,3920633,10352531,91326,1756935,63339,21150,0,0,0,0,0,0,0,0,0,0,508764,0,0,0,0,0,0,2261096,75562,182643,197784,356835,200266,0,0,2112737,2821258,3565512,411661,987129,1966028,210919,179747
20130713,44843315,0,0,0,0,0,0,0,0,0,545392,637127,1270902,530765,2227988,0,0,0,1823776,8912299,4571896,3301059,3167074,1545014,300007,0,0,2259379,990970,21379,223453,0,119171,0,0,0,0,0,0,0,0,0,0,502415,0,975863,0,499314,0,0,100251,899060,511183,196220,0,0,0,0,1202131,3210967,1838658,1006606,926153,49923,290331,186589
20130714,95595992,0,0,0,0,0,0,0,0,0,1005950,2007299,702163,1416961,1799565,110641,0,0,2471971,27400921,3150206,4610440,6213223,6835382,440561,0,1022778,16206275,41972,55022,124680,81867,9918,0,0,0,0,0,0,0,0,0,0,3496634,0,976048,0,1536878,0,0,393026,200636,542456,0,1661802,203715,0,0,3011915,4175658,732159,304638,1532468,898532,45055,176577
20130715,154906446,0,0,0,0,0,0,0,0,0,1924353,2952052,56826,157163,3696969,0,1426994,0,10479993,59396063,6977940,7109137,8009862,974913,9802,0,279361,315284,30138,631404,171932,152735,14155954,0,0,0,0,0,0,0,0,0,0,3049141,197145,201956,0,0,0,0,2196173,2690351,910974,599572,2965975,269835,511752,0,4256377,6206298,5881846,3421417,1523011,435903,509903,169942
20130716,82754720,0,0,0,0,0,0,0,0,0,1580968,1831960,3315414,1051795,883141,107773,97792,0,1160742,10375599,2958606,6274790,5460714,2136624,443627,0,505982,3313893,10868835,1785,1180624,186051,998187,0,0,0,0,0,0,0,0,0,0,99715,0,0,10222,0,0,0,0,5573594,1564813,0,493579,200691,0,0,1837216,6788645,4494669,1024067,3638029,420648,1692271,181659
20130717,149091732,0,0,0,0,0,0,0,0,0,1064217,3433713,353435,478351,2231060,0,109734,0,6046795,36314074,11825811,1332900,23672234,393098,559407,0,15172217,6918148,309765,382775,49910,5098759,100038,0,0,0,0,0,0,0,0,0,0,2036753,0,392693,0,995301,1568156,0,976045,1454283,4999836,0,404013,1400342,29946,0,4972057,5392870,3926980,1765407,2327367,62548,338611,202083
20130718,148988197,0,0,0,0,0,0,0,0,0,1689668,1832944,8637157,2634015,1759448,0,189067,0,3933562,49101706,8100935,8579763,8359177,457838,115536,0,22454349,573371,2484656,181971,637788,52141,663025,0,0,0,0,0,0,0,0,0,0,203730,0,198540,0,0,0,0,1468101,3056837,1108521,0,1068172,315968,0,0,3085112,6768495,2879892,2637069,1009813,208732,2337029,204069
20130719,103432155,0,0,0,0,0,0,0,0,0,185488,2443618,258454,2667978,903805,155327,0,0,3843445,16525117,24260541,2625281,3645821,15984509,713373,0,1134619,524145,1104,2425002,801590,386630,952843,0,0,0,0,0,0,0,0,0,2672,3066807,2016701,199380,0,0,0,0,0,2895683,551387,0,0,0,550737,0,1792334,3447583,4356557,2046716,545482,511946,787903,221577
20130720,51379255,0,0,0,0,0,0,0,0,0,1873597,464120,558478,2840134,203953,0,0,0,522468,6907608,10313007,2689999,896097,39738,51076,0,101537,408776,264963,805958,9443,99493,3056682,0,0,0,0,0,0,0,0,0,0,2995403,978254,0,0,0,0,0,0,1078934,189,0,2714365,1999160,0,0,2293120,4295507,996262,539191,677093,241069,228741,234840
20130721,114182489,0,0,0,0,0,0,0,0,0,800419,1502199,167627,2085648,10826449,0,20204,0,22233963,31081732,4230508,4992634,3025405,2673102,227645,0,4584657,2435447,609854,498025,1681106,0,30203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509023,0,0,5405530,1688061,0,0,33,0,0,0,1107993,2915289,3240446,1200556,3549429,181068,445491,232743
20130722,129240030,0,0,0,0,0,0,0,0,0,3372787,5817146,4419576,1507675,10375086,987,213280,0,12453776,20319080,2497737,2282886,14887832,1502312,1554826,0,3279387,9983461,630012,126888,428075,0,104506,0,0,0,0,0,0,0,0,0,0,3052993,79771,0,0,0,0,0,3714410,399214,2487197,598524,394863,0,0,0,1644984,12086199,2919381,1181634,1646571,910130,2143471,223373
20130723,100023603,0,0,0,0,0,0,0,0,0,1628253,9859200,736329,1433994,182503,0,72364,0,2682130,21560367,10378106,3947421,8207205,712352,146152,0,146957,79001,308285,2143660,1014830,1135345,50061,0,0,0,0,0,0,0,0,0,1003700,9540742,0,195597,0,0,0,0,850937,2089477,852813,0,0,0,0,0,714142,7109565,3247525,6095816,516631,933020,211896,237227
20130724,124934446,0,0,0,0,0,0,0,0,0,224465,1239834,4619238,1367668,2884991,987761,0,0,29253176,15547032,16651988,2677305,5752600,3381023,150949,0,4352444,497578,11096,27379,174120,0,2546341,0,0,0,0,0,0,0,0,0,0,98033,0,0,0,0,0,0,1982577,5117247,0,4526873,21,1678505,0,0,1114791,8767070,1383248,2218188,2688117,840446,1909684,262658
20130725,128615656,0,0,0,0,0,0,0,0,0,4024387,3525134,556754,2710342,847479,0,274676,0,11332057,13183644,30072108,2728882,5702824,3133035,57511,0,1317958,10654887,125896,161676,2293242,469666,0,0,0,0,0,0,0,0,0,0,1007533,0,10,196074,0,0,0,0,0,2423238,4998376,3014081,1080021,0,0,0,7215765,5348948,5217394,431836,841066,1097617,2307174,264365
20130726,106171544,0,0,0,0,0,0,0,0,0,213640,2911250,2169476,5249403,1860814,0,0,0,1838099,14788460,9305583,14614168,3710646,4085507,20941,0,52787,17162860,1526441,5067878,15204,0,26549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4633762,246423,3963584,35937,201560,0,0,1185197,3989143,2489854,2196148,1196064,1014629,125491,274046
20130727,73916277,0,0,0,0,0,0,0,0,0,30343,4404335,7831122,397935,1437701,253875,102,0,3493236,14317902,7056107,2974563,606991,337835,281214,0,23244,6132126,1242458,823797,278638,1016,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17294,8828447,0,2950945,0,1977102,0,0,943610,1800821,2880196,491508,1285394,442492,88543,282292
20130728,62626554,0,0,0,0,0,0,0,0,0,0,2718724,1418992,3591653,3072592,0,162432,0,3569073,15289895,3909286,2335761,2403005,2779075,398140,0,2164228,373214,2587757,1198788,323781,0,20650,0,0,0,0,0,0,0,0,0,0,0,1000531,0,0,98054,0,0,0,321347,1943660,3091050,0,0,0,0,386684,1909641,2945525,767058,998220,51102,513266,283370
20130729,165363143,0,0,0,0,0,0,0,0,0,2419028,4560419,2901229,908437,5505963,605,98,0,6477442,46300053,14807001,8939959,11337780,14790787,624025,0,1566813,3151163,1860167,36620,5249097,36024,978426,0,0,0,0,0,0,0,0,0,0,0,35431,0,0,0,200192,0,0,413339,5047777,7542553,1206381,199505,0,0,1834046,8776679,3414258,2158894,863512,796960,145208,277272
20130730,191812968,0,0,0,0,0,0,0,0,0,745082,2730879,13340988,1540665,2019685,0,0,0,18732791,46761005,6845247,8029137,9915033,6703357,604736,0,10265454,12418214,5417697,17002003,126847,130900,105926,0,0,0,0,0,0,0,0,0,996341,0,0,0,2998610,1018726,0,0,1022315,2982597,1056664,0,199110,87651,0,0,2369007,4556589,5200876,2285584,850003,439276,2023458,290515
20130731,138901835,0,0,0,0,0,0,0,0,0,622453,1548916,1928218,121679,445850,0,36343,0,13842781,40845312,4297683,10180073,25718686,1229411,2926664,0,138616,892504,51090,283570,2193568,145584,100990,0,0,0,0,0,0,0,0,0,3533764,97665,0,0,0,0,0,0,919977,1603598,2280994,0,1208294,0,0,0,1521058,10367647,3616041,1512100,2809063,309959,1249413,322271
20130801,225245595,0,0,0,0,0,0,0,0,0,1689860,3345331,1470939,2470618,5237023,79659,195366,0,3323151,66586016,18830947,15175950,13271302,3582641,10010,0,29406,38835788,5698706,1339360,623507,2347460,1983721,0,0,0,0,0,0,0,0,0,0,2948351,0,1976829,0,1022521,0,0,895850,5211214,3814014,913226,72830,0,58,0,2788634,5458396,5218059,3072656,3644099,1317242,427525,337330
20130802,155842960,0,0,0,0,0,0,0,0,0,330388,11718036,2081507,643560,387087,0,175875,0,4946512,19151237,7817213,6637462,1318029,4359988,766629,0,56443144,1286455,523234,2095937,1403278,212581,203,0,0,0,0,0,0,0,0,0,0,2971247,0,60,0,0,0,0,200374,2196632,2349311,0,1370611,0,0,0,4653945,6688794,6958621,1799687,1060686,1773454,1168071,353112
20130803,75439704,0,0,0,0,0,0,0,0,0,1718840,1331772,1268665,936387,365242,7535,0,0,12003250,19432333,1701005,7155341,1489552,600480,19100,0,606725,951300,256653,2557474,227257,1040725,0,0,0,0,0,0,0,0,0,0,0,3022294,6076,55360,0,0,0,0,1007529,768198,502856,0,0,0,0,0,1547646,5457329,5149221,1194290,1912125,673655,104930,368559
20130804,72586562,0,0,0,0,0,0,0,0,0,73136,543137,562758,1822828,1274186,81822,0,0,4868271,23881982,2495515,2593791,1341037,3507823,749057,0,6162955,4268211,693036,262030,61079,0,11643,0,0,0,0,0,0,0,0,0,1015583,3158926,2470232,0,0,0,0,0,625608,399573,188589,0,0,0,0,0,1105014,2518656,1947860,1911633,575616,767241,280636,367098
20130805,211681418,0,0,0,0,0,0,0,0,0,2499290,5122875,4047142,1860004,5125351,9774,99669,0,17687107,66917956,9014578,16873081,11525611,2789614,11952752,0,19992,636925,1007811,2805587,204934,5096833,1700552,0,0,0,0,0,0,0,0,0,3023530,0,0,99201,0,0,0,0,609842,7650959,7798780,18268,0,200485,497466,0,1696455,9879018,5821936,2034918,2803515,698641,1493176,357790
20130806,173791518,0,0,0,0,0,0,0,0,0,27719,1473836,9081963,1966155,1566729,0,231216,0,24419757,19474633,2354845,6099547,10928083,29588121,7696604,0,606110,4973379,329770,712480,5572673,0,150901,0,0,0,0,0,0,0,0,0,0,7037494,0,0,0,0,200316,0,2349465,1436958,3105006,4132910,9895,5252308,90918,0,3987599,8821681,1902140,2906151,891501,2586433,1452302,373920
20130807,148706998,0,0,0,0,0,0,0,0,0,3400705,8323925,526702,12204299,3449035,0,530662,0,6229866,22688046,5197108,12636646,7436008,8673361,7308366,0,325186,5640982,518577,609748,2282098,660127,0,0,0,0,0,0,0,0,0,0,1761433,0,0,1014109,0,0,199293,0,307333,1482891,14637281,2027889,0,0,0,0,305039,7421836,3544090,1549944,2051975,2193674,1159669,409095
20130808,166870967,0,0,0,0,0,0,0,0,0,1080638,2986250,862112,3350522,8280923,239609,20489,0,6338509,33233667,6610249,7682146,16461954,919306,208208,0,3054231,5671905,5278942,1542282,1705522,702102,0,0,0,0,0,0,0,0,0,0,992498,0,0,0,0,0,184310,0,5453860,6880778,10867152,3561777,246867,29773,0,0,3112240,10610681,7694355,1759696,2131972,2507984,4183838,423620
20130809,125302842,0,0,0,0,0,0,0,0,0,1090668,2358879,2484732,2012176,13387505,99682,28430,0,15777201,19846046,1161462,5605928,16379163,1855210,182717,0,134865,4081242,82800,516085,530533,43208,100,0,0,0,0,0,0,0,0,0,997793,0,1032748,0,0,503930,0,0,3742633,4392300,3208873,0,4679858,383928,0,0,911069,5958423,1669594,2368963,2685770,1939081,2734182,435065
20130810,71389165,0,0,0,0,0,0,0,0,0,0,3316077,518594,310488,937120,406732,222670,0,981037,21137378,1020225,3097863,11411826,3833301,101026,0,98020,542960,49193,396966,871090,2540643,492668,0,0,0,0,0,0,0,0,0,0,0,22889,2037883,0,0,0,0,607004,1498413,1954371,0,0,501146,0,0,498451,4688114,997833,1118111,1709575,1714312,1311228,443958
20130811,97747045,0,0,0,0,0,0,0,0,0,647018,1891621,1136608,4550116,985497,11934,35771,0,12227462,19173128,6021129,5224936,3175961,6999047,0,0,4792194,1369813,499141,103721,1699278,514824,84285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007330,3759555,100624,21655,0,1984131,0,0,555468,3757878,4796877,4065839,3590922,1468902,55010,439370
20130812,167976431,0,0,0,0,0,0,0,0,0,300815,1082686,1901392,1651703,2274130,0,26868,0,18782569,42643114,9905779,10023694,6006124,10275015,1263936,0,1108254,18541635,2169359,3342746,10408,358698,509244,0,0,0,0,0,0,0,0,0,0,0,9233,0,0,10020,0,0,1230169,3704406,3831811,0,0,1953054,0,0,2701821,4800421,6223068,3203917,3910275,2345435,1446971,427661
20130813,209288691,0,0,0,0,0,0,0,0,0,146811,2223572,4135575,1345899,9837843,0,36612,0,35707948,32814501,17264918,8817148,14547158,2020516,355539,0,336779,26720279,3112281,1135714,1539722,195855,2018101,0,0,0,0,0,0,0,0,0,0,0,199,0,0,512028,0,0,66402,8729404,1278468,7359849,0,70559,0,0,3420119,8654264,2410930,2122705,3427500,2949671,3532506,441316
20130814,179540557,0,0,0,0,0,0,0,0,0,287733,4751996,1538648,1661947,2710970,0,192203,0,5213579,39679090,16313178,3981297,12710246,6064158,9753575,0,164985,788799,235232,2275484,101553,30741113,205216,0,0,0,0,0,0,0,0,0,0,0,1010515,0,0,492447,0,0,394267,7030291,5215264,4358877,19514,354,0,0,1842561,9502002,2388348,3874997,165554,2861255,543869,469440
20130815,137756016,0,0,0,0,0,0,0,0,0,208390,5283623,3356711,3538946,1712739,0,397959,0,22448473,12848075,4056707,3836023,4627470,1022371,9195942,0,293447,7299261,3295353,406745,113663,0,149867,0,0,0,0,0,0,0,0,0,0,4891569,0,0,0,496346,0,0,3657827,2207948,3306914,3590727,1640375,3317786,0,0,1915729,14233537,2906336,3059826,2242491,3175860,2533782,487198
20130816,160827399,0,0,0,0,0,0,0,0,0,10557,11775136,2054420,1923616,200397,0,312726,0,33608880,11512320,13018732,3509741,2932351,10717347,1319692,0,3331,1518189,4646039,2313846,217383,4260779,100529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983375,0,0,1193342,12113052,10979974,3657686,0,5077127,0,0,3719568,4334599,3403159,2400744,1272479,2013117,3227773,495393
20130817,74614450,0,0,0,0,0,0,0,0,0,1324690,827665,1182266,194243,762212,147901,0,0,1115910,10462530,9204708,2535053,4811797,3311743,1258423,0,165356,641982,677722,565501,51217,202124,0,0,0,0,0,0,0,0,0,0,0,0,1006921,195230,0,0,0,0,1035159,2852957,3734920,1971204,0,0,0,0,2074364,6082927,2813055,2026296,1993215,2874714,6006857,503588
20130818,102665299,0,0,0,0,0,0,0,0,0,204334,5436100,359031,998690,1340095,946146,0,0,4327231,26900300,4712256,12296127,2886874,5695624,2362549,0,49155,1596984,1322744,30571,3055723,102,48896,0,0,0,0,0,0,0,0,0,0,0,100766,0,396445,510537,0,0,1238566,7408186,442851,3552671,0,0,37765,0,1674687,6604188,1569528,779398,2077422,748797,451874,502086
20130819,191034645,0,0,0,0,0,0,0,0,0,580875,5521270,2981608,17305862,1228205,1704,19660,0,19883742,15033496,2779934,33531263,20857420,7167307,7984813,0,128946,9240024,117173,115855,11950,102076,295470,0,0,0,0,0,0,0,0,0,0,0,0,0,204973,1189359,204522,0,8923,6067784,5675606,1682044,2605520,2084719,0,0,3118622,9714880,2508997,3730013,3171120,1277810,2408450,492650
20130820,215278887,0,0,0,0,0,0,0,0,0,1101225,3808148,706228,2428515,845277,0,2928,0,25786271,70784187,16106295,16926389,7174377,3903375,472222,0,169531,6372866,673801,10960,668567,5760822,0,0,0,0,0,0,0,0,0,0,4496844,4489780,0,0,0,2926878,0,0,0,11145220,4052797,1114620,98670,828,10214,0,2333012,6904045,6061519,1904335,2749340,2705046,69889,513866
20130821,179538060,0,0,0,0,0,0,0,0,0,801767,5327268,4026019,847162,705084,0,0,0,4147095,42996916,16846910,13451763,7410520,2567487,99083,0,24817,23779826,185427,4325509,50913,669445,117334,0,0,0,0,0,0,0,0,0,0,2328786,201259,505565,101037,2997750,0,0,4392556,3337646,1017909,2850594,7111,6950291,0,0,6036963,9677238,2917114,3362818,2365594,1151926,408129,547429
20130822,141263728,0,0,0,0,0,0,0,0,0,968864,3815412,1561067,738995,739935,63281,190615,0,11580506,21830050,4186778,14408357,7484312,1233137,197621,0,1088331,386594,4632094,34438,36902884,1014320,0,0,0,0,0,0,0,0,0,0,0,0,214826,0,0,0,0,0,3229432,4487443,2788488,497214,431937,0,9303,0,1342578,6528596,2417203,765895,3303466,1530050,100119,559587
20130823,170467134,0,0,0,0,0,0,0,0,0,293098,6113524,173296,6088406,3294824,0,56614,0,3607602,69782262,21152123,4328632,16669521,1878420,3508210,0,110532,534173,776280,107698,200350,520731,31459,0,0,0,0,0,0,0,0,0,0,0,303510,0,0,0,0,0,713089,2433398,6620146,100183,495169,149197,0,0,3872125,6544392,1431608,3948972,2958595,683437,411599,573959
20130824,90286330,0,0,0,0,0,0,0,0,0,911575,3748019,1675415,533839,2884220,176478,480428,0,18401414,4830774,4267272,11894734,4070705,6878533,725219,0,3190017,176828,135990,6265,20480,0,25549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988904,1904212,0,10015,2208860,1959751,0,0,925197,4397261,1358523,1610968,5797609,918095,1592420,580761
20130825,102488268,0,0,0,0,0,0,0,0,0,655524,3321842,934532,2450819,1243103,0,248339,0,12022152,13308041,5897117,3555874,20606788,1143379,2124433,0,63678,404312,3611548,3230160,128074,196345,2468,0,0,0,0,0,0,0,0,0,0,0,487624,0,0,0,0,0,2260494,200893,4871596,5,1211580,5948921,44663,0,827850,3657213,1408063,931107,2969447,1296051,647486,576747
20130826,170342886,0,0,0,0,0,0,0,0,0,119796,18331594,3970649,663699,391664,11056836,240119,0,8428734,34655257,3986625,6281003,7948862,13831972,703837,0,1035748,6118854,10517968,83273,0,1595182,0,0,0,0,0,0,0,0,0,0,0,556263,196740,0,0,0,491249,0,31334,9333103,2957165,984812,205989,0,0,0,2052651,3936236,5313027,1004401,8109060,2739687,1914799,554698
20130827,201065197,0,0,0,0,0,0,0,0,0,1022282,4136637,3734562,1019333,11110756,49509919,0,0,25948469,22741372,2885651,9396603,6493582,4548759,1458494,0,1152241,559533,252642,3554934,326108,4625194,1010,0,0,0,0,0,0,0,0,0,0,2948757,0,243,0,0,0,0,672805,7346015,392949,4296483,0,4151180,0,0,4600962,7250468,4972629,2051740,4395855,1937441,985502,584087
20130828,129007472,0,0,0,0,0,0,0,0,0,82001,1928960,2952052,1504275,410002,0,101852,0,16628384,15039653,22472019,7485361,5508532,9401576,486162,0,21914,1311882,58315,1832664,293981,268841,660122,0,0,0,0,0,0,0,0,0,0,753263,0,4544768,0,0,0,0,2982549,1714424,2086153,2178756,601835,0,0,0,3166187,9587450,3289913,3128222,3535719,1410287,970844,608554
20130829,123008333,0,0,0,0,0,0,0,0,0,1472206,4189093,994402,855583,531749,0,29939,0,3135434,18185638,5810428,12844155,6031400,1178861,21395823,0,69207,3653709,97057,116241,513670,40011,0,0,0,0,0,0,0,0,0,0,0,408629,0,0,0,0,344833,0,1469817,1058028,5016980,4193859,361790,37822,0,0,5026069,6808410,3745884,2337206,7438400,1697309,1248138,670553
20130830,167352846,0,0,0,0,0,0,0,0,0,914885,2332478,8000867,9797314,658010,0,15726,0,4594783,34127459,9173725,12142655,33205226,1049204,1031630,0,42513,2170637,115805,3146702,62245,714619,457485,0,0,0,0,0,0,0,0,0,0,201980,224722,0,0,0,0,0,0,8956861,5955777,0,2023299,794842,0,0,2460780,11728153,1915433,1789970,3157174,1166780,2505175,717932
20130831,105053756,0,0,0,0,0,0,0,0,0,56937,8258351,1863917,1820281,299923,164039,0,0,8592621,33926726,1381035,6400488,1770192,783948,1250372,0,0,3635791,185605,212350,440306,35130,20166,0,0,0,0,0,0,0,0,0,0,2965614,0,0,0,0,0,0,0,1501893,3536589,0,500848,0,0,0,784380,13109033,3357475,2310911,3852653,635533,771979,628670
20130901,130597360,0,0,0,0,0,0,0,0,0,1184611,3811144,4419416,2998809,911202,0,0,0,404373,30565130,26916252,3503221,4285898,1833330,29850,0,241345,4055581,180816,403034,639426,244177,1539387,0,0,0,0,0,0,0,0,0,4949959,3353481,0,0,0,0,0,0,6055856,3538197,1814458,405440,0,3243089,0,0,1468989,7064490,2568181,1875512,3628530,1039695,801087,623394
20130902,207386289,0,0,0,0,0,0,0,0,0,12292,3565026,4792529,4143563,6131040,2226262,0,0,8091463,37399389,16840114,26446618,21619013,4078809,3775253,0,1765457,1027687,84652,2420200,513906,1472162,412905,0,0,0,0,0,0,0,0,0,4583299,181009,0,1331772,0,0,709069,0,5941619,10700873,6258551,500476,1218844,457452,97728,0,4067919,10801725,2205220,2066606,5510051,2389959,809732,736045
20130903,172090108,0,0,0,0,0,0,0,0,0,1638568,7233414,3349227,1088918,1320457,0,0,0,7398218,44056381,10075846,8067473,7150601,5128855,1481692,0,747941,16856421,589639,829458,768685,248627,0,0,0,0,0,0,0,0,0,0,1982242,0,0,0,0,0,0,0,5936571,3442240,1808693,1336838,423939,7065760,714282,0,3565156,10215868,4951267,3331511,5641471,1937894,1069062,636893
20130904,246685377,0,0,0,0,0,0,0,0,0,51032,2286116,2641736,1411235,8349435,5955,29392,0,8753700,19870114,22712806,6142883,14560398,4742289,1202381,0,31527960,8617278,1179694,806497,254261,7140006,48974048,0,0,0,0,0,0,0,0,0,2190736,0,0,0,10156,5057509,0,0,5148124,6612567,402204,2741426,0,5043469,0,0,1441840,10174596,2876827,3280738,3279707,3727350,2768528,670384
20130905,193869240,0,0,0,0,0,0,0,0,0,627414,4778587,3429460,1324902,830140,9966,0,0,27783897,19884452,14050985,17339040,13401530,6504486,2748488,0,341246,20802399,154766,76223,30122,0,20380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006439,0,0,2853627,17561628,9035950,1198486,356779,0,0,0,2201699,9860193,2974781,3025743,4072851,1654615,3246241,681725
20130906,176731156,0,0,0,0,0,0,0,0,0,150379,23691953,1040083,2181114,877492,481178,213818,0,3048165,24762506,7599824,865357,6653698,774392,128626,0,1739,11518200,254802,201647,212154,296305,47565965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10014905,4024834,6697769,1297727,0,0,0,0,1794194,7574915,3021421,2890266,2921468,1477266,1643463,853531
20130907,102583538,0,0,0,0,0,0,0,0,0,308511,2744343,2356460,657835,7126501,49828,30031,0,5683629,11132636,5636762,2320208,20439906,1128076,717263,0,0,200459,187924,202238,2221597,1297984,0,0,0,0,0,0,0,0,0,0,1407776,100793,0,0,5010077,0,0,0,2238665,2583502,2315781,202255,203137,0,0,0,1511574,10216570,3706918,3581199,1592963,1704758,1053729,711650
