report_date,total_purchase_amt,zfb0,zfb1,zfb2,zfb3,bank0,bank1,bank2,bank3,bank4,bank5,bank6,bank7,bank8,bank9,bank10,bank11,share,                                           w1,w2,w3,w4,w5,w6,mb1,mb2,mb3,mb4,mb5,ma1,ma2,ma3,ma4,ma5,fb1,fb2,fb3,fb4,fb5,fi1,fi2,fi3,fa1,fa2,fa3,fa4,fa5,sb1,sb2,sb3,sb4,sb5,si1,sa1,sa2,sa3,sa4,sa5,time
20140411,1026869865,0,195125334,36739854,86144252,0,72942168,41828095,50293755,79303394,138165084,180275051,43351947,36469616,26699074,19428696,10402711,9700834,             0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
20140412,707711725,0,85144097,29698750,150161844,0,48890910,28715116,35369488,36854531,67839734,118140760,29831999,18818622,22432106,15360184,10697592,9755992,               0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
20140413,772601950,0,110231743,86058524,105054718,0,47773090,31253741,27765324,67471018,79992592,114328793,21197156,22142271,24496874,15614483,9519691,9701932,               0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
20140414,1259423598,0,201523426,87627576,256032783,0,102869156,37274654,47994700,102953901,119387896,158134840,38590046,35422259,32026054,19027140,10972729,9586438,          1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
20140415,1223264292,0,193757589,47757541,127575741,0,58623832,47343971,47875447,113869253,158884310,239760833,55555583,43324063,33117560,35105189,11152817,9560563,           0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
20140416,1345449736,0,274746409,155172234,156163742,0,85108622,53374835,34309764,90916359,135990708,187081161,50279990,40099781,34212208,24613011,13642579,9738333,           0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
20140417,1021224192,0,179851870,103855907,118948422,0,61791287,51764251,28066178,74486834,108779621,158947873,37517159,25824452,29102857,20776741,11784701,9726039,           0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
20140418,936390049,0,178957329,46608894,146131877,0,88332081,47563018,49642827,51317452,85015787,126711215,28555181,21452780,23881306,23006868,9444980,9768454,               0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
20140419,638608183,0,146307922,40946033,75254323,0,26619612,18969302,47313526,42448917,43477949,106231305,23749026,19453450,16610940,11727477,9685074,9813327,                0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20140420,703398344,0,109956436,56701464,111578183,0,34997164,24647202,23723309,47430346,80707735,103564829,25688302,21594069,25426353,16749013,10882681,9751258,              0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
20140421,1063131843,0,272534458,80782392,106764056,0,71034753,11612893,40636316,74897765,103439369,165973753,31483293,30404622,34380185,18666884,10808571,9712533,            1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
20140422,1002091172,0,239197840,108752914,108577843,0,47895170,14503762,23597260,84713386,99963688,147222668,39815201,24667233,22667646,21731381,9115390,9669790,             0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
20140423,978502181,0,182928656,128877456,120739698,0,47509503,10574818,64841734,72965207,84318474,141167973,37648609,29840772,21227759,15301369,10859221,9700932,             0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
20140424,908095681,0,152613259,91309764,153097743,0,58702320,17400431,32488040,65405287,83591035,138237344,31609978,25128662,22243431,17795579,8882171,9590637,               0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
20140425,695964483,0,139180435,40464267,56882074,0,36068945,22819133,29653318,40337448,64291554,147833352,28032781,26409707,25227495,19680397,9532246,9551331,                0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
20140426,533977905,0,130845663,40694275,49215448,0,33587595,22233463,16893701,26243522,37408386,96596402,19365193,22055185,12033729,9711510,7560025,9533808,                  0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
20140427,665447090,0,161679013,80087206,33247749,0,45048803,19849941,24245848,51784345,60750618,101927722,21986284,16430689,18365299,13614682,6954001,9474890,                0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
20140428,1051066944,0,186282249,91973363,116108247,0,46463700,43634452,55937485,65656942,127305440,171834163,42660228,32699216,31800538,19930265,9325549,9455107,             1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
20140429,1178699905,0,281134359,94331566,127736199,0,42000224,53195042,29549343,90700112,143980455,180030141,43852548,34164680,21438549,17920060,9349202,9317425,             0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
20140430,954543853,0,231023897,75353927,45314521,0,52135918,24009243,21427521,65713244,139307650,153501851,37084169,39719685,27902919,21843351,10741266,9464691,              0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
20140501,778337841,0,85402024,24663892,200868611,0,23977272,10275628,47526093,47243438,91849997,139231026,25974311,24441064,24812270,14232952,8436711,9402552,                0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
20140502,465347969,0,86456537,17128570,66771605,0,13134395,14112265,22669734,27090655,65981793,79789664,17742700,15042501,9787122,12978644,7208225,9453559,                   0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
20140503,656845067,0,94138737,60951329,69465126,0,34968227,22367900,30385886,49433654,95561117,97305063,22600371,28069553,18490251,14463353,9150341,9494159,                  0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
20140504,1101374451,0,186785763,102390133,84285917,0,61084046,31145921,85972247,114123733,129204026,171487147,38077370,32407423,25565712,19853399,9425624,9565990,            0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
20140505,1220629656,0,187267204,64747953,106236112,0,36387813,66240905,75944622,108306381,150720374,254605502,54282984,37183999,33630500,24391254,11323658,9360395,           1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
20140506,1256897928,0,143196301,211545965,95328175,0,61276080,41035708,74980235,88300716,158692914,238727251,39996022,34088098,26908276,20796891,12386822,9638474,            0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
20140507,1128803744,0,171861841,43695818,115583770,0,115612135,43707618,46080497,130860147,125511940,205945471,29479748,36563570,26036044,19146134,9162036,9556975,           0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37
20140508,1097052866,0,161567633,108566620,99614349,0,72846979,47326242,49709788,88699427,125842679,201540623,41179997,38996978,24111373,18345831,9214929,9489418,             0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
20140509,894071348,0,170685823,47826846,91599842,0,48746178,28553579,28887195,72834980,100722728,155567133,42764253,34233965,32123855,19286607,10684313,9554051,              0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
20140510,656123522,0,105470049,50302606,58436611,0,35741104,8974370,26362682,39141954,80141736,140011894,29982356,20624536,21291773,21030695,9106078,9505078,                 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
20140511,669062622,0,118718652,67808786,56425921,0,44496481,19515285,30254908,47128417,58612926,127207191,26416359,14342097,20400620,17910962,10358637,9465380,               0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
20140512,1052953833,0,185504569,64130022,84052497,0,86923140,43702953,45598393,67057271,119539841,187097043,49227912,35014721,38538868,24632560,12548051,9385992,             1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
20140513,903048513,0,152093598,60341870,85622146,0,25544569,23149764,40543824,64327447,134183128,182185137,35659365,28085356,28974664,22503613,10517461,9316571,              0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
20140514,891196203,0,110116134,114294453,81372540,0,31588233,32252262,32214665,68319013,112215958,188571353,31084984,25763091,23688705,20345585,9933925,9435302,              0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
20140515,1178654309,0,147867982,106353524,215560063,0,53176256,46672188,47201778,52634982,90862882,233326362,47491214,44563234,35513833,34328674,13666683,9434654,            0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20140516,768103727,0,114364231,47353918,53806205,0,31657816,35111153,32788256,57229306,88582274,165582904,42743669,30132624,30864772,18974879,9475832,9435888,                0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
20140517,571486415,0,109014670,45700974,68337445,0,38675179,18098931,10265880,29565099,53884361,95150230,24529961,25716274,18104886,17920705,7141751,9380069,                 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
20140518,561691078,0,93949942,44439140,42965162,0,41490611,19535278,21652641,35461104,65412495,97867005,25269533,25971699,13673169,15571102,9099953,9332244,                  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
20140519,1039499558,0,173752820,56399003,206388061,0,32362639,33334849,41808520,66709753,98877601,172135556,41843778,44119158,37040588,16090987,9012051,9624194,              1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
20140520,818112014,0,164694255,27386528,42022870,0,28751658,21571903,51874044,50648935,108902461,169342522,32711511,35974630,37322340,25842584,11475799,9589974,              0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
20140521,938398048,0,150677796,29613583,132531462,0,28475084,31721643,60159059,81288092,124987580,163631845,34253976,26456074,26381970,26228689,12336199,9654996,             0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
20140522,812605917,0,144283807,25572743,83118554,0,47191716,58504772,35398100,38809953,78207306,174180693,40589837,25573742,24554543,16670346,10542381,9407424,               0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
20140523,737689778,0,89006832,59761235,110465559,0,39815977,17986771,26382280,62325630,53952927,152041006,41262636,24778700,25446056,16155970,8947902,9360297,                0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
20140524,511825401,0,126497655,23857176,25803321,0,32795833,12722390,18201396,33850003,51084847,93015641,26395952,19415123,18217252,12138707,8709024,9121081,                 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
20140525,511745121,0,96973129,30391748,85715727,0,13783236,7913568,10472787,32715553,59455521,82023966,24277933,21741062,18247227,12067541,6903097,9063026,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20140526,919251708,0,188593873,36994236,132140121,0,79046332,30448712,36484241,60550005,94394909,134247860,29697807,26141495,32608255,19513417,9371851,9018594,               1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
20140527,927971288,0,149255370,63299583,145102845,0,41374806,50611807,20997609,54486477,121804872,167680314,34427628,25879749,22133429,13382901,8518587,9015311,              0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
20140528,955772465,0,167619568,72505477,102892830,0,83662150,18495957,34114665,84941164,101531983,169543743,32413817,26850559,25803520,18835824,7444010,9117198,              0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
20140529,795733998,0,146535555,51896030,95317760,0,21830882,48832505,33322638,57599774,79157488,142188148,30217254,32453347,17073729,20262919,10104918,8941051,               0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
20140530,760329532,0,178985539,76891767,39242504,0,7945454,21085832,22333546,54428811,89174537,162834337,25049102,24295214,21323248,17342738,10135754,9261149,                0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
20140531,473381901,0,90471016,46458416,26750786,0,19963926,11238914,6128186,24289395,51018533,99563148,23744173,24516024,16270606,16186135,7809283,8973360,                   0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
20140601,702573488,0,100223867,51434301,85285502,0,52858274,19893674,33692460,51505133,100186790,121210001,19716633,22200420,15704869,12857074,6890984,8913506,               0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
20140602,658151688,0,125618255,31351333,62745698,0,41932185,18365072,32967754,52215736,91180222,104018513,26824169,19945827,17473569,15020501,9657787,8835067,                1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
20140603,1187345693,0,224986359,89501712,167489875,0,48393500,32706959,56602461,101753759,141079153,180744382,38032711,36162957,29776668,20931284,10224565,8959348,           0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
20140604,1064097227,0,152202821,103321849,143690941,0,56557899,42727811,44723762,101801872,132808442,155151427,34928465,36027552,20117916,21490637,9415810,9130023,           0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
20140605,1128839299,0,150688616,172002659,139367936,0,27528829,54798471,37063611,78927638,117861295,202195306,45187350,35701423,27261693,19576715,11380713,9297044,           0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
20140606,897803019,0,149874631,55866110,63364240,0,21585206,56419258,43784929,74153433,133643119,158583697,40585178,31691948,28505714,19489138,11193209,9063209,              0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67
20140607,622568595,0,136697819,16152962,85009415,0,27755525,10680250,44181032,60822033,71627216,81167580,19753483,19475056,17649143,14476493,8021660,9098928,                 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68
20140608,621693135,0,116999161,26798541,102255130,0,8420426,17181193,39785810,34476768,69405782,113193340,17588374,22899787,20390014,13644650,9603896,9050263,                0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
20140609,945973950,0,159361971,45238739,143456766,0,40833687,13441409,35856644,46093347,119877671,179747894,49956669,42771930,29596895,20782581,9813673,9144074,              1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
20140610,1200566357,0,186620563,66127520,78075503,0,68549772,20393906,49666868,100330151,160409031,260819296,56295555,54124236,49507653,26988196,13602199,9055908,            0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
20140611,1102669619,0,158129332,66847897,100155614,0,69033949,22002722,66274611,85793567,145914258,212572456,48627698,49565972,34598102,23739561,10171600,9242280,            0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
20140612,1019305875,0,207442437,69111734,91180375,0,55796875,13182536,50352148,76627839,154133930,162674146,41313935,32581690,27668470,18804680,9251286,9183794,              0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
20140613,847676780,0,145514199,32851499,65958994,0,45316640,23692393,22028019,49972857,122318662,176463292,52271022,31980279,37235147,21484273,11252365,9337139,              0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74
20140614,553565926,0,100650176,22005349,33795994,0,18912220,14511754,8164684,46319661,67900494,129963601,31755087,20349585,18115872,22623374,9225029,9273046,                 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
20140615,679624017,0,141206529,43894487,43132984,0,27233885,16391016,17844549,36466748,91100005,128850039,34670553,30357711,29851394,19159442,10240593,9224082,               0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76
20140616,1087295170,0,159603693,79406548,99905606,0,26937212,19257128,44625311,71714017,171338070,232075526,47882314,40010709,39005187,30458141,15970703,9105005,             1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77
20140617,926432573,0,164049080,48775688,70324773,0,50106131,22853825,33209494,59462934,124633176,189462148,43581037,41606992,32852087,24399216,12181995,8933997,              0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78
20140618,960036386,0,163010522,106898609,66006145,0,52969303,24522360,32969136,81694955,82664515,194680378,43013907,35089093,38067116,17266094,12290163,8894090,              0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
20140619,788071537,0,145385252,68818105,107179060,0,25584665,13565745,12076914,56187967,87424967,150106314,33798893,25844300,27691369,15233627,10582935,8591424,              0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80
20140620,757412696,0,128846383,50057291,58562118,0,43891944,28492407,23464551,37837319,88953008,152699581,42657333,33340696,27475246,20423476,11835049,8876294,               0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81
20140621,562620598,0,120302661,16094050,65551658,0,31691484,31850530,5447498,50954255,56866471,93788736,19031022,22992347,16483482,14496279,8621766,8448359,                  0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82
20140622,551254134,0,164292648,26088457,28955654,0,35346493,6944168,15461480,34009892,48497924,99712175,20080750,15988589,22906648,15120893,9449491,8398872,                  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83
20140623,906367187,0,170719420,46025872,121004484,0,52925422,13124035,37984568,71683327,94098631,180134336,35873264,23193895,21991339,18712634,10530500,8365460,              1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
20140624,925758962,0,235443011,131036503,43821406,0,32568806,12362856,29458691,71415395,109254866,139687698,33165524,25268907,22946275,21741041,9261887,8326096,              0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
20140625,999715349,0,155049387,46025797,190384566,0,59194780,28709717,29265443,78790462,114263613,170734476,28595483,22381201,35244804,22123706,10947781,8004133,             0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
