report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,
20130808,74245716,68861404,925370,1410217,0,3048725,0,0,0,0,0,0,0,0,0,0,0,0,
20130809,54769573,48989072,2534601,469497,0,2776403,0,0,0,0,0,0,0,0,0,0,0,0,
20130810,69136310,59263732,4600787,167735,0,5104056,0,0,0,0,0,0,0,0,0,0,0,0,
20130811,55427761,45749341,1646801,4342265,0,3689354,0,0,0,0,0,0,0,0,0,0,0,0,
20130812,80773448,68095529,8071601,593079,0,4013239,0,0,0,0,0,0,0,0,0,0,0,0,
20130813,91256470,81689702,6586169,112870,0,2867729,0,0,0,0,0,0,0,0,0,0,0,0,
20130814,63204820,57973529,481382,1210465,0,3539444,0,0,0,0,0,0,0,0,0,0,0,0,
20130815,59770163,53255115,1919400,837217,0,3758431,0,0,0,0,0,0,0,0,0,0,0,0,
20130816,54846511,47598792,1821009,604461,0,4822249,0,0,0,0,0,0,0,0,0,0,0,0,
20130817,35793786,30715235,2054356,289900,0,2581461,0,0,0,0,0,0,2017,0,0,0,99816,51001,
20130818,51116403,40050212,6408867,326045,0,3921553,0,0,0,0,0,0,10318,0,0,200902,2932,195574,
20130819,66398761,51942800,9072600,829139,0,3377475,0,0,0,200014,0,0,13437,0,769190,98645,0,95461,
20130820,71532646,58779847,2595465,562234,0,3752405,0,0,0,0,0,4980973,537137,0,205621,108744,0,10220,
20130821,98511807,82958039,4746660,807860,0,2629747,0,0,196665,0,0,5075368,113963,29782,910025,974053,10065,59580,
20130822,86499939,55262350,9730848,719590,0,4102432,0,3829754,153723,4010219,0,0,2069611,1374247,464291,1276993,2376873,1129008,
20130823,81660445,40837959,5654030,769961,0,5447007,0,17898367,0,0,5457642,2422657,407112,405188,302973,311749,1140997,604803,
20130824,67043497,46048441,6777114,573806,0,3411992,0,5121272,0,204358,97880,545354,1997272,16,221592,221855,1021268,801277,
20130825,74745835,28925854,4359750,710194,0,2287794,0,34506186,0,355208,0,102088,542466,0,1094448,581467,630747,649633,
20130826,100484900,64827160,4838783,5464928,0,4713223,0,69635,1595719,5258391,1063788,6896352,1422593,1129655,1364790,1385733,192750,261400,
20130827,82944250,36252087,5972017,847259,0,3864720,0,17880385,0,101792,4882118,6354934,3322061,457498,188162,529413,1419538,872266,
20130828,99807687,51980977,12931827,836733,0,3737586,0,99,21824,8115456,3254471,11751874,4450927,29708,1261643,568526,606185,259851,
20130829,131776147,64484667,3837212,1344116,0,3120408,0,14459641,70926,3093882,8844252,18138899,4071628,3679151,1820233,3425239,811048,574845,
20130830,84859725,38731164,9980094,683198,0,4227990,0,14628071,196038,9944,2136865,5530580,2448991,632223,1690328,2182078,1175675,606486,
20130831,64787947,15792524,6479716,2365296,0,3275221,0,14821601,0,10744807,50106,3666861,1451581,161541,978879,2465498,1235763,1298553,
20130901,80432194,32240283,8151295,943027,0,3080411,0,17870367,975342,2706169,4666219,10067,4889712,404068,1886537,459550,1110897,1038250,
20130902,103258517,41024768,7489080,724427,0,4581670,0,12991702,9268513,1988267,2867196,6455055,4287623,6606071,818033,1426001,1229776,1500335,
20130903,105069571,38445461,7792511,4032595,0,4110913,0,13574896,1971786,6161415,8447718,8254471,7561558,1603963,516456,428254,1551647,615927,
20130904,106392031,37485560,2680026,571998,0,4166491,0,20321954,6337397,11837711,0,11732957,5176715,835918,1219865,1437901,1675496,912042,
20130905,95864734,48327339,4040506,6314737,0,4414518,0,17500588,209042,3434701,2256189,1449634,2686256,1001617,1332898,968678,480675,1447356,
20130906,87619123,27112101,8526449,1301103,0,3228673,0,18493263,4884001,0,4629240,5844210,5062001,525521,4415286,2305915,1027374,263986,
20130907,96814347,48412000,4280003,1410500,0,3687441,0,22254397,3781924,1025998,247750,169759,5012306,32724,2772369,2908161,527701,291314,
20130908,58083083,18973308,5701858,5595610,0,3568568,0,5890716,0,0,5054129,355369,6118124,874059,561923,671130,4021865,696424,
20130909,144106500,40648903,7557526,6654120,0,7468533,0,44916374,10995741,1096661,2559521,3750175,9436860,2266703,1189359,1965227,2197266,1403531,
20130910,149199095,43797987,8131071,1141939,0,4364804,0,67047301,1725306,3585599,3241929,4090258,7685772,1285760,1345366,395599,347842,1012562,
20130911,120905488,35755903,9507778,1183925,0,6033188,0,43505240,649245,5130593,2047,4692139,7020222,2110946,1794780,1449777,1111703,958002,
20130912,132803465,40722864,10698402,1112723,0,4031280,0,40441894,0,5432172,8224826,5123423,8929017,2012607,2239677,92335,2260781,1481464,
20130913,137814861,77642279,4132550,6304627,0,3957833,0,19079241,499479,3581378,10513301,644137,3720918,1265687,1459600,3525191,845736,642904,
20130914,106016121,23313715,4293070,5880863,0,3495724,0,39101622,2010666,9393992,11157917,2058442,1291109,1027799,726330,811167,957506,496199,
20130915,109075943,47594300,4776671,2895768,0,4379871,0,15629197,6653,6809675,7040159,1741815,13271281,137429,493728,1679740,1987565,632091,
20130916,174434843,39547799,6325867,1685909,0,5035990,0,60042287,10043724,15172804,16069185,5365262,3899940,1791343,757241,2060552,5312697,1324243,
20130917,105209096,37572912,3160864,1295221,0,4807584,0,21616988,20268,505362,9615146,8126099,7234548,196157,5671852,1128025,2903821,1354249,
20130918,94445422,35794900,7164487,837050,0,5287384,0,610387,7731458,200710,10039818,16138740,2310826,997220,976128,2498744,2423653,1433917,
20130919,67518092,17648499,5468512,1204205,0,3037457,0,59614,609394,8195079,10090379,3013374,2413902,3981718,805969,5373922,5074747,541321,
20130920,86462452,15234460,7270355,1135123,0,4145535,0,41189074,2482464,0,5125630,2454730,1083759,1454499,2345094,363766,1333887,844076,
20130921,65382587,23053221,10177849,1610315,0,4143836,0,4544661,0,50923,683927,7040262,4776014,5145019,299755,2943021,635365,278419,
20130922,222081047,70132938,9313385,3762270,0,6933613,0,76781422,2956694,13858176,11391880,15374504,3269146,918051,2683893,2372335,1376534,956206,
20130923,200500964,63017360,6724224,1346340,0,6804730,0,89071604,15614,1505222,2101732,9553947,7024613,2353540,6941397,2358243,1112076,570322,
20130924,143415366,70521006,9826665,4164422,0,4901660,0,19246586,992061,3967483,10849391,776505,2878161,2553612,7024405,2199965,2697715,815729,
20130925,187159134,84573292,14433279,1600728,0,6107559,0,28200131,1058426,7666910,11207273,11274914,11729831,2687867,1237046,1220891,2913342,1247645,
20130926,175389264,54331251,11685704,1441288,0,5458318,0,43995499,4360131,7952452,9192177,15729955,14602786,1328729,571873,653643,2953540,1131918,
20130927,163000500,68120344,13812621,1442024,0,5098019,0,29801342,99192,16753842,1300785,7014156,4864892,4610336,3897579,3073923,2196972,914473,
20130928,337616400,123476961,18645312,2515131,0,7536587,0,152456555,1502509,2225646,7047176,9472735,4954033,1089199,2473488,930418,1622003,1668647,
20130929,183435950,63651312,13688824,3026603,0,5262291,0,52761930,8185663,5599707,3929338,5562763,13787441,1877235,1879550,1922583,1632363,668347,
20130930,133311669,57654653,7900565,3103232,0,4861053,0,21194004,1638004,980830,6050856,3632489,11825089,3749364,5010479,2802501,1482130,1426420,
20131001,67184896,20862936,8252248,7335944,0,4598359,0,5082751,5013485,1689807,4321917,4813325,1521670,604402,1209911,871341,609263,397537,
20131002,42051827,12830132,6546478,1331347,0,3914610,0,0,197974,181435,4071620,7247438,780943,100115,3168696,264606,1179442,236991,
20131003,31411182,10610261,6209234,896137,0,4471349,0,1005561,447185,887687,252123,1388599,169146,324976,1173790,635716,2243374,696044,
20131004,34427288,16181977,5710971,333200,0,3339775,0,1414637,0,0,495048,1083012,1664959,1479611,513450,871862,1177015,161771,
20131005,45713854,6723574,9175162,1956388,0,3291613,0,2620609,608871,6184954,0,1707922,8911476,20199,995015,2434675,821093,262303,
20131006,58465908,9024735,9214573,636769,0,4505352,0,14643580,2024646,195771,0,5240165,7358998,1024447,2827010,264119,614628,891115,
20131007,81253474,17764249,6696141,968539,0,4167588,0,35446669,2962223,4461748,2794081,20671,3032272,1005816,0,379707,893385,660385,
20131008,163559234,47175217,15049991,3698719,0,6997128,0,20808570,12774769,6581380,11642895,10730943,20591318,2584002,421110,1583714,2139112,780366,
20131009,156362027,70252998,7126167,8551266,0,9030744,0,6139797,13445238,0,7414105,11580438,12067681,4008103,2751250,1012903,1595087,1386250,
20131010,145120290,52837137,6496611,2381398,0,5731910,0,45140022,3536978,0,8926912,6386056,6184835,3526557,1195683,1789102,608645,378444,
20131011,94432250,38351753,6707153,6636613,0,7574713,0,10294281,489148,0,3799113,6772528,6252745,1467101,1446454,2843947,1255583,541118,
20131012,113085130,54437463,14575642,1871386,0,4250873,0,15032948,2425380,1129556,3703366,4164779,2769691,2570320,3812712,494231,292081,1554702,
20131013,89589898,27058199,14183555,1922923,0,3722662,0,8786199,793835,1545886,7446932,2376366,13111642,1197110,2487907,2388483,1987166,581033,
20131014,135049585,43417978,9774590,3945327,0,8654299,0,22287906,2715791,3811311,9778593,11886140,9743982,1098281,1010070,2295944,3597935,1031438,
20131015,167794800,23138154,18555140,4806273,0,9128474,0,20165522,3735252,4475044,20194719,22516903,27353690,3114839,2065436,4258958,2222609,2063787,
20131016,176320637,65732479,6032933,1854426,0,5726859,0,42911661,6498037,5056212,10032770,11342856,6734287,2997329,2350148,3299486,4447208,1303946,
20131017,97274132,24042603,11001689,3529533,0,8041477,0,16107766,4976504,2995490,4200543,2466775,12581928,1820025,1184743,1716725,1034772,1573559,
20131018,213786359,50228353,11963271,5978652,0,6992405,0,113399655,0,7405813,1863325,1159990,7103601,1090971,2343049,1711537,1341508,1204229,
20131019,105306562,66699284,3444832,2114054,0,5488784,0,1012799,2278940,2765610,3242762,10194690,1499140,815572,1862392,849420,1291805,1746478,
20131020,118943779,32267557,16890500,1106015,0,6078945,0,13079695,4817313,14443617,10357620,5912511,5647127,2047276,2524584,2207287,834157,729575,
20131021,131038104,24085953,17350779,7138799,0,7040425,0,17645048,7983968,2036861,9902450,4748843,19202757,3444317,4935014,1836263,3156100,530527,
20131022,191740538,60459319,11007635,4662388,0,8291563,0,64311163,9000603,4248426,1606935,7786140,10684413,1538815,2563996,2525002,2114199,939941,
20131023,145998026,56909561,15788498,4455277,0,6765990,0,25792587,20,7854557,8052406,2111700,9454741,1995806,1054983,3274890,1093338,1393672,
20131024,192950089,63333078,11707427,5339554,0,6990922,0,40579893,9865646,7827476,12406451,4987496,10333358,6476890,7537768,2836708,1413651,1313771,
20131025,175427663,45187158,21482995,2837335,0,6533817,0,30627926,25103938,5186639,6087743,2628985,16024932,4030379,1573964,5871545,1431022,819285,
20131026,135526544,48123303,14983059,1578079,0,6109437,0,4003130,24697841,12886907,1291180,2870963,8516154,1338072,2260868,2960955,1984284,1922312,
20131027,149434691,52851473,9620339,1802457,0,6308008,0,25137188,10012133,9480527,3478101,8950051,9163610,5169571,2780817,2006571,1223630,1450215,
20131028,206493938,47146523,11196657,3224047,0,7009892,0,41259083,31962214,4957449,11023759,15300678,19614120,5913186,1887383,3976299,1393472,629176,
20131029,103942357,24207305,7437025,4241503,0,9732306,0,10106259,5016178,5343469,7216131,6672206,11169016,808071,7358079,2266152,1516067,852590,
20131030,230872015,64129881,22243936,9166366,0,7584707,0,46914094,23482691,4466453,24781947,17713002,5557440,316876,1802068,1619341,594037,499176,
20131031,240425134,77611817,19977909,8785165,0,7481041,0,49458620,26969746,2717585,10989036,8489432,15234730,3378182,2866237,2695934,2237488,1532212,
20131101,210667663,41283259,23425841,5639581,0,6760907,0,58950894,3245539,21940403,5809132,6872816,23237970,3481407,4396100,2118031,1892474,1613309,
20131102,104808415,21774463,14020488,3219689,0,5469959,0,23910286,1297283,4589555,2523409,7281324,9260215,4855018,2114510,734373,1390060,2367783,
20131103,132969505,27117977,17916780,1899096,0,7348398,0,27854280,0,217656,16365493,8617528,10425491,1828340,5324621,2607418,2886991,2559436,
20131104,227070264,65525557,20463011,6852440,0,7679989,0,40259290,8011709,7810571,8501372,18000885,22933018,4877070,3819376,4151034,6030436,2154506,
20131105,333941581,123529984,15460261,8903655,0,12439127,0,12247854,6839883,10889781,25873684,37110979,30327232,7416631,12806745,11151962,12342308,6601495,
20131106,333124426,71370656,18715114,11197931,0,12451923,0,83215152,12297314,11161592,9144098,31615501,23316486,5597455,8629687,14656474,9790247,9964796,
20131107,322796764,82268661,18499212,11332853,0,14643254,0,46422058,5893380,13700064,10856633,20620552,38867254,5953404,13788594,15937047,15704207,8309591,
20131108,271373666,74563049,16095605,9530136,0,13656458,0,31287316,1736636,17326651,10525608,30927138,19826238,9972665,6189981,8644002,12371802,8720381,
20131109,166496383,41994346,15480523,5781173,0,16657571,0,9023514,733415,5346817,5635342,13307323,14708766,7186822,2240574,9049791,12320925,7029481,
20131110,230063433,94368050,14642448,7405806,0,24826222,0,17097658,5915327,3629429,3842265,10901602,6259207,5895735,11204259,6341785,10069112,7664528,
20131111,731819386,109513357,16642549,14270497,134703312,320673459,0,44774730,13286440,10495360,15808593,10762202,21526809,2744391,7602556,3928065,1583101,3503965,
20131112,223957703,50302934,25462501,11535256,4453724,17485351,0,45007013,2101566,3513277,7376455,21922333,20450677,2348112,3751488,2521931,3166291,2558794,
20131113,247249532,64990313,11197829,8484691,1000000,17148315,0,62143303,2621557,12568136,27777097,8921043,12356026,2530880,7740586,2341826,3304305,2123625,
20131114,335368661,74674314,15529609,7970704,0,11795633,0,129975728,612275,19008539,23407376,14021904,19679717,6128014,2258490,1559634,6648239,2098485,
20131115,231320833,86272704,12493855,9944125,0,12209069,0,41070904,7824480,2995950,5370224,21330878,14175371,5937790,4675538,1780697,3399276,1839972,
20131116,184811007,61830368,9956768,5168962,0,9950495,0,68474796,1215121,2012291,4052928,853263,4590793,8102145,2232816,1675293,3011161,1683807,
20131117,181926148,36367887,17271793,7394175,0,11726805,0,58839388,5078997,203370,6453383,12830198,10531704,2276018,3882034,3340853,4358226,1371317,
20131118,430463498,131518342,10685036,17087251,0,17188985,0,107580693,9564042,46992571,17005177,20735367,30509737,2903979,7466895,5903222,3222830,2099371,
20131119,368421632,78685582,20163708,11427180,0,13304939,0,136307332,10996766,17768533,32434060,13769342,19859279,1807062,4030961,2458891,4014033,1393964,
20131120,299130814,95217337,30850077,10767046,0,13500916,0,53893373,8516987,16626007,9551242,21567592,22167138,3498965,4072667,2549485,4271735,2080247,
20131121,250055059,78365096,22375734,10215881,0,14075033,0,48080890,2239860,5614598,24389788,15364507,13554784,5124000,1276827,3527088,4041145,1809828,
20131122,196268342,52062330,22509293,9602721,0,11636904,0,13141224,8567161,1455716,7623546,37230903,12332404,5159765,5526744,4162607,3235427,2021597,
20131123,181939042,39273508,22221101,9956871,0,9506136,0,31678153,265162,7144359,6914151,12764955,24227151,1360724,4475520,4966862,4709792,2474597,
20131124,241165482,68668997,35315725,10772133,0,14690331,0,17791248,2278509,9814049,13608553,17726758,31141334,4254690,5630674,4636150,3012015,1824316,
20131125,360684622,107158524,28581239,21952266,0,12754415,0,77221655,7771762,12152225,33970151,16693397,21981423,3423496,3599180,6075911,5572602,1776376,
20131126,296280268,85638604,34863663,15703479,4300000,17794707,0,58565039,4971906,8322207,3058309,31654985,12117081,7764749,4898226,2741748,2308002,1577563,
20131127,297924238,87716021,26388852,7210422,0,14046632,0,79487166,12189387,6099682,14378007,13861966,16412830,6259214,2926489,2213286,6160486,2573798,
20131128,376490798,104250935,35291746,12066539,1200000,11975191,0,97838585,19008168,9910926,24141258,5360529,34156577,3730148,2036278,8579954,5149634,1794330,
20131129,281902898,76827957,20669374,8051161,0,12274880,0,88881192,6450531,1102657,11589188,15925494,22418185,2689915,4191472,5845384,3427925,1557583,
20131130,303528177,65277548,38533211,7035475,0,11812245,0,74923288,5385456,197553,39017639,18978126,21207848,8290747,1184341,3963247,5294116,2427337,
20131201,414011955,159927412,43703873,14056128,0,14120050,0,78262428,14585300,10755389,12820986,13199249,35741964,3656239,3260891,1269054,5165543,3487449,
20131202,393933489,84922634,32531889,6249584,9000000,19220032,0,97826016,32190979,15457728,19888979,34149639,21341870,3404824,6774717,3695908,5551409,1727281,
20131203,344735764,77419042,30568920,4679909,0,18655803,0,75363091,18819892,14583620,17782307,46023634,18173800,3315800,4886835,7783384,4716354,1963373,
20131204,343344909,56431936,28369847,11402126,100000,15124538,0,124479930,2344301,13508038,14090509,25088826,20126062,11874578,7928447,5852428,4670613,1952730,
20131205,292855413,76366680,27870541,4548989,0,17547038,0,48223054,3563273,9274677,30458636,17558172,35233089,4915942,4731267,7145717,2334512,3083826,
20131206,356540468,57949235,32905242,10727571,0,17262799,0,149843024,10153855,3268028,10771593,15850329,25456935,7077968,3709075,3701345,3382664,4480805,
20131207,217367351,41960101,25976171,5627806,700000,13179684,0,62300939,3242585,884061,24943456,14179117,8535176,3749664,5205387,1365925,2182108,3335171,
20131208,292422763,72467360,28025358,2688294,0,12573085,0,100340530,5533340,7250383,10437580,9659098,27622905,2591422,3940984,4566842,2365047,2360535,
20131209,445687711,86840471,30942970,7925234,0,14646973,0,171115014,20775839,8310307,16302438,48794413,17856527,6731075,6833566,3628131,2555182,2429571,
20131210,320716673,87971611,33444454,8525751,0,17883174,0,53836505,5886158,26637775,21422264,21502597,24214701,2482389,4509229,6236459,3223961,2939645,
20131211,379060143,127492378,18493716,16249322,0,16873109,0,124446069,7030686,10003712,13670688,13663174,14475450,4297319,2126989,3562667,4746116,1928748,
20131212,418603977,98277459,32894091,15920318,18110000,75763901,0,63836153,20360727,14388564,18745367,18117445,19090596,5190986,4794468,5492182,5280582,2341138,
20131213,341420228,82976053,30315409,5436815,20000,16205554,0,60417410,17268291,17339130,26520839,19013615,46025090,1774277,6173551,4788661,3533107,3612426,
20131214,202207460,50614042,15247134,6393213,90100,13960232,0,33571387,15611318,2665149,9971139,19833904,21188407,3418701,700756,5814411,1747971,1379596,
20131215,292391614,64887265,20249836,5521059,0,13575904,0,99036780,5987599,9413838,19374176,14493175,15887421,6790526,3983970,4730185,5201704,3258176,
20131216,396504652,92611235,28927639,11679808,1000000,16301152,0,103300664,33947395,11370720,11691200,30432806,30494344,3923940,4582465,3328037,10628460,2284787,
20131217,431628119,88928543,26080118,14987341,250000,18441671,0,171512241,7191032,20612742,12390680,17598752,27455239,5721200,7289414,7908216,2856636,2404294,
20131218,319989587,99116616,21686508,10783957,6000000,17672085,0,68746202,957854,18374067,30237790,9400865,16357354,3156491,6821773,4341919,4186307,2149799,
20131219,424816220,114515886,20934657,13064610,20000,16413256,0,106954497,18066316,20820528,39063880,20860024,23767365,8978409,5704401,8045732,4741943,2864716,
20131220,402340885,100140743,29011462,19790501,600000,14470541,0,93692784,20182503,12809055,16111267,28100919,41272222,4256894,3409990,7480154,6059533,4952317,
20131221,252345626,80075152,27520536,4215586,210000,16737483,0,40308022,6162730,7673118,16956629,8916612,13772977,7800724,9054608,6229398,3769214,2942837,
20131222,327387203,65354557,35660410,5201411,200000,15666893,0,54911649,37555959,7934808,5803386,45953792,33550034,3323486,5279117,3779495,4755989,2456217,
20131223,577628115,113811856,67197679,12087033,0,18361810,0,117573719,23005810,70105079,41157783,45495986,40223305,6223743,7794687,3483002,8329296,2777327,
20131224,548189593,149586121,42861494,8294767,3300000,27216346,0,122304879,17160249,24392252,45341167,37947108,41399986,7662833,5876803,7050359,4908255,2886974,
20131225,540767770,118309469,38262369,26514250,4650000,21792725,0,167868068,15154676,29383795,32100646,25850305,32511254,6921423,6132640,4996108,8166718,2153324,
20131226,589747979,100822219,49336602,16998025,7000000,23134953,0,217622991,25777460,17978228,31438375,37545150,29526450,7779314,8526782,6457247,7068571,2735612,
20131227,488358178,118121119,38149265,20422530,10000,22882736,0,164415946,8231819,24723588,10242711,12936241,44761228,6571901,2206277,7853565,3960904,2868348,
20131228,220206166,35688136,32826071,5350859,100,16582983,0,35001170,10470775,5479080,6649615,24631329,25543844,2070989,3897039,5762755,5437889,4813532,
20131229,330295442,71685095,31488289,13878629,60000,17446718,0,103692937,24203878,901230,22116931,6979267,14690062,6766326,3731372,4734970,3110561,4809177,
20131230,602967644,165598907,36501564,12696312,1840000,21885977,0,128050269,33265754,36112573,26665202,69209036,43657809,3277398,9201108,6720251,4796240,3489244,
20131231,436616656,107377281,39643260,10439065,4310000,24513623,0,69405190,19969292,22888995,36501950,32407610,33890790,6024167,7752939,7779967,8821382,4891145,
20140101,354164036,50164642,41023349,7310571,30000,20180261,0,104621381,11690660,15907076,11718959,32294742,31583923,11038842,4405358,2923112,5798891,3472269,
20140102,431946948,94842297,38451573,7573696,310000,26591108,0,104633361,30540031,20642500,27829120,20324464,35675705,5813509,5426800,4150378,6230156,2912250,
20140103,492401514,79234186,39330247,19436887,10000,24532192,0,124225206,22208258,37342789,21593382,54182528,41966655,8882671,6116361,4218346,5738252,3383554,
20140104,244738567,84458580,18138778,12930450,210000,18617002,0,40304632,16858591,3964670,11675898,8487709,8386833,2331773,5865110,2891153,4954448,4662940,
20140105,298260804,62311378,34605378,10746901,0,21040003,0,44933676,23605620,10582625,24350306,16511853,28630634,4729286,6496577,2863646,4265116,2587805,
20140106,528816057,80687637,52357772,24405933,25201000,37162885,0,186383439,3693751,14235513,30328100,20450796,26442238,4063058,4593069,8243436,5922484,4644946,
20140107,472243428,92217188,40297619,23036322,4759300,26770881,0,124012263,20411911,12084292,19402543,38914921,37250854,10244977,5260470,8574063,5836902,3168922,
20140108,680976175,100571192,34105247,25731323,4408232,38599104,0,234439938,38684511,4983724,69028588,63135104,36589939,7929138,8695059,8169478,2664767,3240831,
20140109,510813283,70211753,41802453,14592627,1710000,28234659,0,150054733,47834378,47703659,34494315,18542174,22709651,6857682,7171646,6257456,7480978,5155119,
20140110,580711999,83550386,56478687,21448136,305000,37039083,0,158691794,28893635,23195340,41401784,42955747,50976264,5646537,11829486,8561737,6108093,3630290,
20140111,307318002,64499816,53916169,14368449,200000,27492232,0,49222019,0,4640807,23885042,19574878,25675285,2863109,5688366,3924210,7783658,3583962,
20140112,446040443,87034300,56175645,23591913,1200000,18926791,0,83274376,25688754,28927787,13088788,32883217,43827540,6975482,5919503,8913060,6133302,3479985,
20140113,575375855,114623829,37051238,17457520,0,30095313,0,135166472,66363554,6558221,54056157,27235866,51987150,11487135,8944741,2692422,6550291,5105946,
20140114,541901664,103518889,28755570,19176989,2598496,35533867,0,155928218,19863624,25561192,48381507,39159520,30857089,9695065,5167237,6208007,6075353,5421041,
20140115,563814984,97183971,32106133,18941202,1000000,33205980,0,208952597,18675331,19975887,38047181,39642512,25807197,4212368,7916823,8722176,4464087,4961539,
20140116,500164190,115555296,29408119,23289719,10200,32547644,0,141383996,20594233,29390454,18127011,22146238,33763913,5342467,6666374,8849260,8549666,4539600,
20140117,552716880,124265446,33964132,30092284,0,32700460,0,130019360,6725744,21970365,44965481,27577124,52447324,9650897,13941533,9683847,10704636,4008247,
20140118,427652060,85627745,39288979,14011371,200900,41443391,0,70308772,25948281,21004407,12512854,49788954,36984253,4824763,4814736,8117944,7725171,5049539,
20140119,416947983,65869958,43910814,12438222,200000,27066817,0,120919796,12002936,30164070,10954718,17739116,36665711,12238512,8293928,3214921,10000558,5267906,
20140120,960440912,153610213,59254712,26920278,2200000,32679214,0,382017401,67699477,10588598,43563108,61198594,66963496,20401042,8132176,9982328,9537265,5693010,
20140121,709264178,120315007,48074842,34579559,530000,32729784,0,219754932,11784550,38644219,36315057,36940670,82334498,12620782,13005137,9282966,7640353,4711822,
20140122,736847241,127977933,59383715,17708045,300000,28547221,0,215968009,31336552,23504648,53466619,56932408,83580964,6271464,9211159,8837551,9940085,3880868,
20140123,1001895587,133051645,67554041,31031295,300000,22544997,0,443496535,52919592,35763206,61577379,45530007,59397535,8300317,9843968,13327716,9772441,7484913,
20140124,885438699,148454567,65553967,23718281,200000,17079157,0,313804027,38140436,39165831,30598253,63917741,79327891,16691354,19066024,10242733,14020909,5457528,
