report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,                   w1,w2,w3,w4,w5,w6,mb1,mb2,mb3,mb4,mb5,ma1,ma2,ma3,ma4,ma5,fb1,fb2,fb3,fb4,fb5,fi1,fi2,fi3,fa1,fa2,fa3,fa4,fa5,sb1,sb2,sb3,sb4,sb5,si1,sa1,sa2,sa3,sa4,sa5,time
20140429,1107326803,140085577,53874490,73992263,4050000,58489735,0,428606367,46688175,36083452,50489868,68712875,74591562,19005743,15733324,13270298,14190516,9462558,        0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
20140430,894475347,152339926,77514543,68884138,320000,54754129,0,197870212,27768373,38170344,32247628,69021631,73774663,26068213,18813159,24850294,19530457,12547637,         0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
20140501,458099718,56970364,56420538,22543471,1000000,38219826,0,81005310,10836124,21132317,36238499,39928873,44302927,5345988,10721964,9622647,12610967,11199903,            0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
20140502,457958157,86993820,58416809,33941544,100000,28822614,0,67635995,20491885,12020932,14804714,38244375,43699597,13419675,12701204,8439688,10138904,8086401,             0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
20140503,576367835,93995537,66921566,33106820,0,35972892,0,139475662,32664433,33044578,13211959,36001719,54206885,4306828,5848179,8609032,10414590,8587155,                   0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
20140504,877921091,147340550,51890751,49792539,601000,42306581,0,314693267,42610030,38555196,30298775,48068746,48191588,14060817,15040960,12510825,14053535,7905931,          0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
20140505,869812619,148859674,62912296,49907490,14731000,53623656,0,207846090,31794874,48654380,38537108,66302890,88834337,17217341,10384705,12097969,10087973,8020836,        1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
20140506,888316302,137187065,60720324,45801603,1020000,48445837,0,275208521,43416204,53229820,47628063,48124631,74276950,7199923,15845038,10338170,14008704,5865449,          0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
20140507,826514636,78424870,58308906,40985783,3000000,42150199,0,345658850,36923053,14604712,27560520,62391116,62025116,14558600,11904747,13273706,7335686,7408772,           0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37
20140508,772192887,102448544,65869195,43313002,1000000,40481153,0,222726411,41025475,52530910,44795452,44211966,60135036,9815154,11089138,13483938,12280595,6986918,          0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
20140509,724518345,113133170,58981288,34682289,1500000,45975290,0,186757994,45546720,26061200,27615782,70440811,55090716,15961254,5779020,15421467,12911479,8659865,          0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
20140510,472805150,96651082,49115058,39577004,0,50278124,0,91419360,9311271,11733167,11872892,32046446,26933559,9322703,12453533,10397151,12374418,9319382,                   0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
20140511,648747897,110648266,46422322,35899181,300000,35619262,0,217244639,18552058,19430953,27766819,34273606,57265242,12514353,7092279,6189799,10488341,9040777,            0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
20140512,1106666677,158435965,81180607,57268963,3210000,52426915,0,367804840,20064765,59781316,74639443,60596288,93752099,17415095,20938217,10865205,18041988,10244971,       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
20140513,880059674,127348459,76209069,53848352,0,47440536,0,282133075,35853390,25680292,38722333,57042120,83199539,8733679,15404976,10279382,11855171,6309301,                0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
20140514,823366638,120199927,47432098,42334006,3000000,47535699,0,282331226,14158105,33158963,50856409,68778920,50931654,15223112,20439641,4950657,16281279,5754942,          0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
20140515,981204432,153920362,55239630,47428088,9900000,52140814,0,323670667,46961744,59787454,52428418,53006742,76980759,9832186,10979409,11207194,10145898,7575067,          0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20140516,643708722,155135143,46420597,36700308,2102700,57233841,0,100238440,31886564,30897488,34980776,31926208,51040008,15123585,16705037,12002142,11828760,9487125,         0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
20140517,502617172,83893342,35298657,35495903,300000,36384096,0,127327001,14759743,11536596,33526954,26085172,36140057,12928257,18000653,10867229,11456325,8617187,           0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
20140518,541901300,98430975,37617887,33237385,0,43873900,0,93624375,15870110,44916125,26885865,47772343,37358852,8263728,18475520,13694870,13445366,8433999,                  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
20140519,1158152786,164089695,56652081,58182521,11650000,56557965,0,427674654,52691013,49262806,36511958,75023810,107610804,16994213,8324730,16215037,13104478,7607021,       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
20140520,938694804,112554353,71845631,63848877,8600000,50475232,0,385374794,23007136,30958991,35021628,50652840,56342699,5535586,10567924,13044726,12580893,8283494,          0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
20140521,867572796,112704986,77869880,33769594,52010000,48180776,0,240419692,39883057,41489615,21874571,72121198,67537679,10931383,17619840,8756196,15923071,6481258,         0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
20140522,780255396,111035899,81971601,41947851,6200000,42165796,0,261952954,30641277,33918239,25317263,42846234,51696620,9313881,11786622,9805435,11352376,8303348,           0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
20140523,856026258,131115737,76057164,48614765,4700000,52254194,0,242612694,23288364,52648525,47593103,48781808,72273481,14834287,9579654,8900724,14614707,8157051,           0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
20140524,599322581,104829421,47088012,37342047,5100000,40658359,0,136977645,11738925,16409662,33805451,56036197,53919856,9016353,14212354,11094360,12111697,8982242,          0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
20140525,553868360,104691816,77742139,44299392,0,40576155,0,120011396,17879115,15565388,21691061,26029792,29091513,17362402,10625009,9193608,11281087,7828487,                0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20140526,1226820760,148903969,92334943,43447319,38000000,50148450,0,484539876,31702657,66461925,64513431,73044734,69192365,18020904,7567377,15918016,14291299,8733495,        1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
20140527,1016342876,147491262,77144480,55582156,43000000,54475625,0,301315853,22865200,34543180,52012993,98049644,66891685,12000336,15656904,15833129,12051623,7428806,       0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
20140528,1048596955,139922731,56914251,49816833,35000000,51051740,0,341876036,31397085,56275779,91767169,66417551,67464590,9635654,13019029,18124471,12892524,7021512,        0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
20140529,755374391,128660427,56703348,51776976,1800000,52354484,0,152303781,29743955,36514031,50431328,61057086,57322872,22112090,17760050,15452808,12652494,8728661,         0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
20140530,727948640,121879488,49947684,44052978,120000,40101431,0,176327348,22490710,19730592,31404505,76468360,74193337,15078159,14646923,12151339,17407005,11948781,         0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
20140531,575406283,107429898,50052135,36049260,0,44589286,0,93359583,14514405,32146598,30441620,63099629,45864512,11826901,8658350,14518882,12259936,10595288,                0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
20140601,488479901,89872835,69577426,29275476,5500000,34396050,0,62648936,24723888,22275515,19945972,32295532,45780124,14245225,5758459,11239675,12415277,8529511,            0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
20140602,621126360,70469554,69126979,37734176,5300000,51685774,0,157590957,13785176,30452805,23947869,51881121,47397191,16085344,10469506,11383219,13868660,9948029,          1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
20140603,1076552114,152710189,96689293,54502063,23300000,45688994,0,372475648,45986428,53342990,64897301,53238315,42692040,23178051,12639886,15038649,11199200,8973067,       0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
20140604,967195002,113397895,86719715,56176725,2500000,42110238,0,284614952,83200424,51869505,50441149,59982262,69758268,11998101,15740317,16943314,14232516,7509621,         0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
20140605,961872173,129524236,73009676,55763580,153970100,43464230,0,174492704,41853519,45193604,39541980,79281320,61161805,20860942,8250749,12756867,11450657,11296204,       0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
20140606,827709155,78891637,66993633,53721908,3000000,50972389,0,284026826,36447628,47811653,50393240,49305353,51338301,11796460,12600013,11640063,11229969,7540082,          0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67
20140607,581690191,81580230,53063152,61049373,3000000,35818031,0,151927570,17249027,30564300,22389236,22085944,48132234,13237064,9025086,10078375,13722276,8768293,           0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68
20140608,870362848,89409171,63355713,31596284,500000,36339936,0,429252374,23752087,30249712,30838107,28368193,40069713,16130110,13367599,14140487,13061326,9932036,           0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
20140609,1106911875,158101667,56459187,58432587,0,51928295,0,391799192,61917310,42017147,72470675,78947632,76055440,11414324,12117598,16683538,9138604,9428679,               1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
20140610,895027175,113779287,72048696,54173163,520000,58774118,0,290257918,13420676,47623231,48818153,64080332,61580706,22471892,11158025,15801079,12488189,8031710,          0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
20140611,1040982692,125064959,60400417,51224197,910000,58609039,0,405581125,47574558,42613607,31040399,84839111,67646093,19649421,12603227,11892850,12613390,8720299,         0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
20140612,930050965,132476527,68090117,44928430,106860400,51203840,0,251523543,19719521,30030772,40171434,46480470,79336244,10452730,11708015,13200003,14167040,9701879,       0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
20140613,783946822,138089992,62719096,41538647,6700000,54135889,0,224077331,14753705,15880093,45973934,52768360,47675825,18736466,23889921,12302503,15763514,8941546,         0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74
20140614,554214154,107341980,55374092,26009778,1500000,33380783,0,108609036,33825162,15067150,19213245,51876129,43963149,14681573,13242045,7100389,13668233,9361410,          0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
20140615,614303644,126729755,42073455,39529337,2000000,48609343,0,152957198,15276937,12141357,30209349,53476211,26884089,18598750,9982564,13992837,13100056,8742406,          0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76
20140616,1336794126,159444981,56048833,72047433,300000,56397734,0,561388638,82761184,61153179,82588892,59072382,74536524,18895849,15029929,15385592,12897090,8845886,         1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77
20140617,1197321128,159935129,44884321,44383218,100000,80232813,0,446697626,25635259,91956247,46099134,94207444,92087902,12686916,18632415,12212501,17634517,9935686,         0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78
20140618,1556028662,154041813,39047444,45441222,1842500,72161090,0,791781560,37155847,76552062,90332551,88162099,83696366,13629203,13417622,19701434,18409263,10656586,       0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
20140619,939870180,114826300,37061862,55172979,2343400,56862318,0,266871664,44955810,41768353,81202167,71503599,101594328,20835057,12731036,9959629,14294587,7887091,         0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80
20140620,1043747523,164214482,74809385,62273594,100000,64041939,0,283046395,37056728,43933293,52464257,104201169,78652629,22106373,12345331,15988600,17146098,11367250,       0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81
20140621,573296780,126384922,60522289,44268580,0,56868890,0,46957379,32784397,20681031,26667518,32312862,60090159,10032838,12936562,16394485,17068265,9326603,                0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82
20140622,742406910,97504961,59157714,33133811,110000,46798005,0,253920294,18213007,24550769,49012606,32635381,66529943,10252101,13514796,15783284,12427165,8863073,           0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83
20140623,1438844936,146110492,110391776,66521891,800000,53981341,0,586276655,47138333,75646686,81748502,116023420,82866106,12729135,19336040,16384924,13933802,8955833,       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
20140624,1415113263,160638222,105618767,64609937,43200000,63208140,0,559683938,60917842,50959137,50453657,101695447,85187143,17345897,17417532,11695672,12566763,9915169,     0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
20140625,1243880683,129073778,93714129,62983720,26850000,49497506,0,391318732,10642389,86069117,103530680,109963865,103954279,14714132,17606162,18387789,15726972,9847433,    0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
