report_date,total_redeem_amt,tftobal_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, category1, category2, category3, category4, card00, card01, card02, card03, card04, card05, card06, card07, card10, card11, card12, card13, card14, card15, card16, card17, card20, card21, card22, card23, card24, card25, card26, card27, card30, card31, card32, card33, card34, card35, card36, card37
20130711,22044043,18076101,0,0,0,0,0,0,0,0,0,2973428,874360,34227,2661425,263713,535912,565366,0,1052625,6270885,1094,1412953,826541,582676,20896,687773,449400,0,2830769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130712,18246289,15925259,0,0,0,0,0,0,0,0,0,1289676,366842,2664999,418578,175431,2843257,0,0,108962,5831827,41968,1025569,624280,142969,390901,624470,123708,0,1572852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130713,16570782,14505553,0,0,0,0,0,0,0,0,0,333260,93711,40489,5247193,207973,994645,4065948,0,1469847,855552,94744,349999,504363,116181,131648,726194,285761,0,1053274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130714,27762047,25071135,0,0,0,0,0,0,0,0,0,1074322,427260,9339682,2118737,57687,1966650,19662,0,612165,1096908,4172065,2191029,1930866,20316,43786,692789,297773,0,1700350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130715,55067485,50174120,0,0,0,0,0,0,0,0,0,3168747,648410,8698274,20960454,642939,3955968,2649688,0,355494,4500026,1537036,873186,240561,1450216,493121,2125226,529095,0,2239044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130716,54367170,50434247,0,0,0,0,0,0,0,0,0,6086763,431977,1090228,15527643,935654,7617305,509700,0,1440346,8259436,4466512,2939983,410676,678273,39751,1853628,707920,0,1371375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130717,44959119,37871101,0,0,0,0,0,0,0,0,0,19523,1034271,11558483,15192686,242815,2561803,631844,0,586207,1431092,5315,3600562,676392,127873,202235,3029198,1586852,0,2471968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130718,25693960,20834048,0,0,0,0,0,0,0,0,0,502265,884040,2642235,5720403,1685285,45115,2009071,0,185014,635710,999337,838262,1967815,1834753,884743,896200,257743,0,3705969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130719,31895718,27458321,0,0,0,0,0,0,0,0,0,702969,455446,9395512,2075749,424905,7290197,19732,0,10568,2369617,466561,890383,2608953,236651,511078,617921,2307660,0,1511816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130720,82545582,80028417,0,0,0,0,0,0,0,0,0,467529,2270490,59612,1314107,126404,249268,1199552,0,51799876,5470403,577224,15540974,619936,209811,123231,838552,304599,0,1374014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130721,29657279,24361136,0,0,0,0,0,0,0,0,0,698340,4223277,885744,70677,1730302,1253819,10032320,0,9959,241508,226167,883610,3579398,50605,475410,2335727,473474,0,2486942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130722,67759506,58062439,0,0,0,0,0,0,0,0,0,756010,1960575,1553536,164623,1558976,2452724,745399,0,2538600,19722301,4720745,18811480,1781114,405201,891155,4159623,2025186,0,3512258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130723,59757901,53425907,0,0,0,0,0,0,0,0,0,499855,4869710,14532618,242870,2532551,668004,2656996,0,476825,16626471,4819573,459321,3703391,620034,717688,2729007,263348,0,3339639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130724,39424121,33695798,0,0,0,0,0,0,0,0,0,2192131,7788177,3975383,696616,855591,3267352,663875,0,727397,3238995,1182459,4011121,1491428,2798902,806371,2770185,235415,0,2722723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130725,46684987,36417707,0,0,0,0,0,0,0,0,0,1347836,2731446,3765034,6762715,593758,322423,100194,0,1653027,12987982,2033075,791030,1724802,114506,1489879,5754400,297936,0,4214944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130726,41883997,36562770,0,0,0,0,0,0,0,0,0,3311936,174150,10988424,361493,478919,804738,3571055,0,3327561,9755797,71668,602674,776421,1482430,855504,1601308,471730,0,3248189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130727,40057095,36202503,0,0,0,0,0,0,0,0,0,2279591,515713,15789363,1398472,5789745,755310,1084255,0,121953,6579927,518718,66365,259775,1002564,40752,1265025,743041,0,1846526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130728,22044292,17513271,0,0,0,0,0,0,0,0,0,151688,82319,3495306,333748,591215,1678309,556750,0,3577868,1545137,1724497,1131445,553520,75391,2016078,1570222,334343,0,2626456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130729,64635770,60660764,0,0,0,0,0,0,0,0,0,3550905,1976471,1181008,2477121,28901879,335050,1795520,0,746414,5306970,5753125,1246096,1174604,1142449,5073152,966996,420373,0,2587637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130730,74137709,64654788,0,0,0,0,0,0,0,0,0,2435577,12086958,525172,1202088,899582,131306,7922936,0,3593777,6302416,11329449,5246861,8837280,3867972,273414,5294726,982595,0,3205600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130731,59458772,53531389,0,0,0,0,0,0,0,0,0,3864626,3141988,3519547,1949446,20827900,1468340,1383527,0,665087,2681820,170397,10049686,808809,2824283,175933,3099213,197158,0,2631012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130801,41550063,35063209,0,0,0,0,0,0,0,0,0,8629110,1900196,1832016,3475695,6543048,351698,981911,0,142075,3179912,869991,4076740,233282,1022948,1824587,1882775,1303357,0,3300722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130802,37403993,29721189,0,0,0,0,0,0,0,0,0,1240978,2822453,99721,1192814,1885887,4519025,212968,0,967739,652065,3025162,838576,5754952,1121154,5387695,3683931,438181,0,3560692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130803,26412756,20667148,0,0,0,0,0,0,0,0,0,1407428,2936938,211288,3686675,179963,258538,822676,0,1250784,809463,1047495,2331924,2609121,2902663,212192,2603415,520190,0,2622003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130804,44078570,39625205,0,0,0,0,0,0,0,0,0,341465,2408756,4086222,4687987,1511402,475429,0,0,4615023,1111251,437574,8331203,11539542,79351,0,1646775,329888,0,2476702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130805,65324075,55610562,0,0,0,0,0,0,0,0,0,4307135,4108021,487366,12754402,12278059,974506,1132961,0,861715,7239397,498769,1191771,2005304,2597222,5173934,4477274,999932,0,4236307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130806,67160629,59197661,0,0,0,0,0,0,0,0,0,9388720,513500,197985,9045299,2792902,2063366,664243,0,7878725,2927530,2617695,749192,2277549,2225570,15855385,2376323,782008,0,4804637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130807,69017998,62056377,0,0,0,0,0,0,0,0,0,3341430,898593,1218121,22108814,3848818,3229716,3325657,0,7229683,1618862,6539716,3273372,290548,4925556,207491,3113636,577174,0,3270811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130808,71681509,66299177,0,0,0,0,0,0,0,0,0,8514586,2414603,1297613,22872633,1626837,3619036,3841947,0,4841565,5353453,711006,2525882,3255830,5308516,115670,925370,1410217,0,3046745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130809,54672373,48989072,0,0,0,0,0,0,0,0,0,1604959,4067994,275390,16275176,2362913,223053,1317308,0,7570814,4868230,52282,3521051,3238851,2455340,1155711,2487401,419497,0,2776403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130810,69136310,59263732,0,0,0,0,0,0,0,0,0,5743695,6634505,3426073,21807584,4635843,847935,468766,0,578619,2690075,238043,2079037,8256042,1857332,183,4600787,167735,0,5104056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130811,55326974,45748344,0,0,0,0,0,0,0,0,0,1475270,2552710,960731,18278836,931071,773368,336458,0,202068,5522386,2322901,1756976,4358968,164882,6111719,1646801,4342265,0,3589564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130812,80773448,68095529,0,0,0,0,0,0,0,0,0,9299309,8519520,2107317,11517946,7770524,2271611,3429672,0,920856,4956651,3293683,796490,8795183,2180737,2236030,8071601,593079,0,4013239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130813,91037755,81482779,0,0,0,0,0,0,0,0,0,14298601,6342381,4755227,17815100,5274024,6748892,1408329,0,6562004,4991651,766806,6751255,1723642,3845323,199544,6586169,112870,0,2855937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130814,63196486,57973529,0,0,0,0,0,0,0,0,0,10667810,1761804,617725,4261715,4248110,1958860,13951851,0,2484590,4704950,2687042,8266643,400305,908919,1053205,481382,1210465,0,3531110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130815,59740163,53255115,0,0,0,0,0,0,0,0,0,7971452,4386844,5927351,6430044,10285692,155687,1457844,0,7859371,1512742,727335,2731306,2943499,846183,19765,1919400,807217,0,3758431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130816,54706170,47479751,0,0,0,0,0,0,0,0,0,2975706,6429712,274569,848280,345145,593343,7836281,0,36479,6069090,1834088,5507171,12185653,292664,2251570,1821009,603061,0,4802349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130817,35786086,30715235,0,0,0,0,0,0,0,0,0,1955458,2641685,683864,5287037,996689,739289,1484640,0,3727348,6490629,307538,1503113,1307713,1723060,1867172,2054356,289900,0,2573761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,51001,99816,0,0,0,0
20130818,50919383,39853192,0,0,0,0,0,0,0,0,0,1847818,6924050,407840,5137894,1346443,1581008,984393,0,2629999,3207211,546020,4099424,6561498,3875607,703987,6408867,326045,0,3921553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101691,0,0,10318,0,0,99211,0,0,0,2932,0,195475,99,0
20130819,66246313,51791307,0,0,0,0,0,0,0,0,0,6173611,1912866,249514,5156870,1247156,3309707,6886444,0,1289414,14523341,757267,1446601,1122959,7644692,70865,9072600,829139,0,3376520,0,0,0,0,0,0,0,0,0,0,0,0,200014,0,0,0,0,0,488402,0,0,294225,0,98645,0,0,0,10055,84037,0,1369,0
20130820,71523846,58779847,0,0,0,0,0,0,0,0,0,4947601,471367,737671,254902,23595341,5102502,2175350,0,6037792,11913036,418195,397998,1578672,1119961,29459,2595465,562234,0,3743605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30022,21502,0,292863,5001327,0,486761,0,0,0,0,10220,0,0,0
20130821,98509897,82958039,0,0,0,0,0,0,0,0,0,5791787,5986978,830866,1063963,45582858,6398445,298034,0,452328,8744574,2586331,1753149,2560691,518640,389395,4746660,807860,0,2627837,0,0,0,0,0,0,0,0,0,0,0,0,0,196665,0,0,0,1884078,9884,0,104079,5075368,0,29782,0,39999,0,0,0,10065,19581,0
20130822,86467905,55262350,0,0,0,0,0,0,0,0,0,8082957,4000823,8263943,259388,15348154,1529491,4065900,0,342690,2696458,7063405,2415878,154532,223971,814760,9730848,719590,0,4070398,0,0,0,0,0,0,0,0,0,0,0,2526401,4163942,0,1202652,100701,0,239580,2254359,0,945492,1633300,102262,10149,0,0,368059,140127,139916,2625895,231884,0
20130823,81660445,40837959,0,0,0,0,0,0,0,0,0,2298578,10021625,5930514,2242319,8912141,1517851,9629,0,265240,909042,292638,2466815,4981346,990182,39,5654030,769961,0,5447007,0,0,0,0,0,0,0,0,0,0,0,0,0,12757514,9990,5130863,0,122736,5753288,309850,548745,506687,2030472,35543,0,318273,1133703,132760,0,110985,0,50079
20130824,66941092,45946036,0,0,0,0,0,0,0,0,0,6812565,13533952,2480741,750978,8597467,138813,5286461,0,340955,1669705,173024,2548314,2531903,225416,855742,6777114,573806,0,3411992,0,0,0,0,0,0,0,0,0,0,301,0,204057,5121272,0,0,0,244296,40996,1644064,980111,174502,0,0,0,296432,350811,285130,114512,145600,630060,0
20130825,74337700,28925854,0,0,0,0,0,0,0,0,0,1863671,2620846,447222,270144,2266775,2604210,3395024,0,867328,4006849,3434213,290136,1267226,4933917,658293,4005750,710194,0,2284794,0,0,0,0,0,0,0,0,0,9157782,0,0,10355460,0,15348152,0,0,98464,262554,102088,102379,301833,996682,405334,0,48801,22282,50588,183220,661545,313944,0
20130826,100425135,64767395,0,0,0,0,0,0,0,0,0,6273775,1526969,1965544,2746043,12973008,7084481,9026707,0,1096588,5412835,344846,2956016,12353469,370631,636483,4838783,5464928,0,4713223,0,0,0,0,0,0,0,0,0,0,685136,0,0,1000333,0,5238276,0,2079824,1040236,3335998,830956,5448631,527266,0,0,0,92631,44370,129560,0,133130,54459
20130827,82937710,36252087,0,0,0,0,0,0,0,0,0,3106839,609036,4587466,7385619,1724643,5316262,2120487,0,380567,431864,1371086,1492933,5079678,1643929,1001678,5965477,847259,0,3864720,0,0,0,0,0,0,0,0,0,0,4056090,4524524,0,9093992,0,307571,0,4942417,3627313,356563,253215,5871839,539565,143274,0,306137,1260977,141302,0,90811,468858,23719
20130828,99803835,51980977,0,0,0,0,0,0,0,0,0,6752852,11880309,4704852,2720515,10510659,4868914,1724687,0,801740,5165299,157206,1022928,907648,677346,86022,12931827,836733,0,3735086,0,0,0,0,0,0,0,0,0,0,0,0,5108014,20571,3007442,0,0,5003290,5124828,587205,3179951,6586210,108627,727038,0,256237,132677,40837,9863,301987,124435,0
20130829,130556669,64484667,0,0,0,0,0,0,0,0,0,9984341,9780659,1867679,1188333,16977327,4113995,5643646,0,224554,1913422,8132443,2021952,1980264,605399,50653,3837212,1344116,0,3120408,0,0,0,0,0,0,0,0,0,0,7029001,3044423,1512148,5045333,0,0,0,2563507,4355995,51233,3939762,17696935,2203029,8943007,0,9870,210254,93361,370353,341822,346380,13853
20130830,84630925,38731164,0,0,0,0,0,0,0,0,0,7309512,3061075,1400673,13971047,6743602,728359,26943,0,204315,1276803,638029,1190971,1135518,936816,107501,9751294,683198,0,4227990,0,0,0,0,0,0,0,0,0,0,4439298,196038,0,5117840,5080877,0,0,810095,2706721,231784,2383066,6394470,786987,1307942,0,266595,850753,55739,197705,28857,238942,143570
20130831,64585805,15792524,0,0,0,0,0,0,0,0,0,1233546,2139562,594419,939110,1721143,1484391,621162,0,10142,220234,42081,575901,1160301,4928156,122376,6473176,2365296,0,3275221,0,0,0,0,0,0,0,0,0,5060760,50961,5392411,291636,0,14770640,0,0,3083476,1115709,555628,971699,668228,675783,1508341,0,139245,428421,663839,210437,121993,220955,749426
20130901,80343257,32240283,0,0,0,0,0,0,0,0,0,446074,2221447,448132,4264823,5706455,88102,2178096,0,2693,4861904,1343608,4846409,2225511,3584117,22912,8151295,943027,0,3071411,0,0,0,0,0,0,0,0,0,4037662,5043495,2958104,8042800,0,975342,494475,0,46740,2194555,1142298,3234767,1007169,263511,4347176,0,214061,379774,123502,297094,315178,819538,0
20130902,103208952,40975203,0,0,0,0,0,0,0,0,0,4432692,6889907,3416640,2121774,2523733,8758560,3052266,0,6773926,952393,373453,206615,556223,745767,171254,7489080,724427,0,4581670,0,0,0,0,0,0,0,0,0,2053333,2977271,1988267,9195901,0,8033710,0,0,2400033,5757573,575752,6077980,3152067,3298817,1197757,0,282255,56521,128123,240592,1603742,258465,160413
20130903,104650315,38445461,0,0,0,0,0,0,0,0,0,1214796,2614262,7073335,1404029,194534,2506632,1868427,0,1723773,6073875,5425627,6758814,791149,195947,600261,7792511,4032595,0,4110913,0,0,0,0,0,0,0,0,0,11022830,97948,8615533,0,0,1971786,0,0,499874,1815272,3825327,9599100,6340146,2903209,1809756,0,143072,210822,167389,267634,101610,169823,707704
20130904,104464500,36104312,0,0,0,0,0,0,0,0,0,1625191,3769827,612210,9075461,544841,2142387,120098,0,1258610,1272232,499447,9158825,2405358,2684368,935457,2680026,571998,0,3996691,0,0,0,0,0,0,0,0,0,4963145,22155732,6440350,0,4937835,0,0,0,2514388,2152996,682858,9918478,126245,2941325,1690583,0,161901,711498,262139,53820,871308,472285,54587
20130905,94646603,47296334,0,0,0,0,0,0,0,0,0,11029124,4433624,1036050,465889,7079111,8332920,6003884,0,20370,5711064,39380,1787004,278807,909716,169391,3853380,6314737,0,4414518,0,0,0,0,0,0,0,0,0,17998550,11323,0,3134458,0,0,0,0,2285658,4296159,0,20728,1804938,477874,809915,0,73726,276600,845474,284852,236929,96052,114398
20130906,87613223,27112101,0,0,0,0,0,0,0,0,0,6067540,2364366,1625855,2960129,2322677,1344131,2853071,0,551698,449345,2065384,675967,3312916,276450,242572,8526449,1301103,0,3222773,0,0,0,0,0,0,0,0,0,4644927,4884001,0,6813474,7034862,0,0,0,3120117,929166,4789589,5024913,4759343,304896,3854149,0,100414,115082,346415,25016,245560,386348,72525
20130907,96561997,48412000,0,0,0,0,0,0,0,0,0,1369876,3492769,1714903,7593084,751377,274550,208812,0,3064643,18023890,60572,3156066,310920,5381836,3008702,4280003,1410500,0,3682841,0,0,0,0,0,0,0,0,0,2001046,2048292,0,0,4971877,18041104,0,0,863019,4424373,0,346033,4262556,999338,0,0,30482,60031,247508,312703,40875,26507,100909
20130908,58063144,18973308,0,0,0,0,0,0,0,0,0,1450817,1421149,1232927,3902254,1446215,709439,1416249,0,4012420,132359,500081,649283,1816534,29332,254249,5701858,5595610,0,3548629,0,0,0,0,0,0,0,0,0,98,952965,0,4937653,0,0,0,0,4087963,6348016,107788,492355,1582333,9892,1006387,0,88696,2169846,639422,147762,773196,899367,0
20130909,142025986,39229581,0,0,0,0,0,0,0,0,0,1496337,1090369,5304461,13931229,4951302,1213766,933981,0,2948440,3599798,248761,1512237,1561338,346240,91322,7557526,6508800,0,7455740,0,0,0,0,0,0,0,0,0,5054249,41209502,8306646,2438379,0,0,0,0,1181531,3006669,3470027,2427235,869857,8793785,915662,0,359019,797547,161439,65707,1614340,602745,0
20130910,148947982,43797987,0,0,0,0,0,0,0,0,0,1312474,16369540,1149585,3452363,2187879,627184,1101260,0,5821717,7565319,766217,406933,1266701,1769805,1010,8131071,1141939,0,4360854,0,0,0,0,0,0,0,0,0,50069242,16891347,2831135,287867,230449,2048166,0,0,4355054,1304325,994410,2065895,2872052,5846949,358836,0,20387,356671,158725,189205,306074,329342,0
20130911,119761094,35755903,0,0,0,0,0,0,0,0,0,6893604,9519576,2295150,2089728,2023163,1534135,1128050,0,1092803,1381589,635268,1266605,2180835,3571212,144185,9507778,1183925,0,5883188,0,0,0,0,0,0,0,0,0,4029507,10867669,5130062,748468,28286189,0,223183,0,1047493,5406364,5639964,1675847,1505317,51053,749479,0,350778,491934,319568,101923,358668,446834,0
20130912,127672566,40571609,0,0,0,0,0,0,0,0,0,10304886,5211968,7538407,3509047,4239877,492476,951090,0,2144069,1372169,141348,540890,2527797,217562,1380023,10698402,1112723,0,4031080,0,0,0,0,0,0,0,0,0,40411312,4891505,13908,0,20468,506291,30582,0,1026351,2466012,3397384,5476292,6129685,698259,2448458,0,553222,104732,1023563,37498,996297,60336,966597
20130913,134966001,77642279,0,0,0,0,0,0,0,0,0,2149768,5367866,1249053,3131923,6865989,2823126,2129165,0,0,1151757,163979,50913699,222416,495097,978441,3940750,6304627,0,3957833,0,0,0,0,0,0,0,0,0,10077034,8489415,0,2021695,410175,2121619,40160,0,160042,450859,2627541,8991206,2510400,2424648,1307078,0,56036,474198,109252,696141,50601,102412,0
20130914,105936260,23313715,0,0,0,0,0,0,0,0,0,341071,855054,314270,4818748,4152051,4961420,1004,0,35178,251735,4006029,440568,3053371,73413,9803,4293070,5880863,0,3495724,0,0,0,0,0,0,0,0,0,0,35503282,4955443,5118188,40868,4888499,0,0,6258413,2058997,7150982,302550,602421,517760,101780,0,20309,426911,39950,276685,175364,54305,460181
20130915,109075943,47594300,0,0,0,0,0,0,0,0,0,2495180,20529843,1417015,6590806,4264448,1702238,1833618,0,2643253,666539,160749,665373,3377108,904557,343573,4776671,2895768,0,4379871,0,0,0,0,0,0,0,0,0,0,15319384,225194,3767620,3042055,0,91272,0,3279802,2270357,5010109,98562,6077629,4200639,3427054,0,89739,624235,125161,77670,78881,1101970,522000
20130916,174434643,39547799,0,0,0,0,0,0,0,0,0,5006987,21841715,574313,5788576,1307252,1683716,640196,0,526516,812697,15184,517138,25468,552988,255053,6325867,1685909,0,5035790,0,0,0,0,0,0,0,0,0,40886961,10184647,3073536,14898822,11220938,10030,4983881,0,1556131,6057110,6998631,4422438,5628463,4792394,488356,0,212443,465614,173072,4489331,977727,118050,200703
20130917,105209096,37572912,0,0,0,0,0,0,0,0,0,9334522,6066562,1618413,2060528,5336021,463165,116246,0,329113,3361022,1863481,4390690,2319298,293422,20429,3160864,1295221,0,4807584,0,0,0,0,0,0,0,0,0,4995568,4782786,525630,0,0,11838634,0,0,4633711,5917430,3961725,3124392,7519311,6354704,460554,0,315824,1199323,220757,1137029,327048,583880,474209
20130918,94033322,35642700,0,0,0,0,0,0,0,0,0,1744168,11646206,2220410,339138,3787996,2448434,5164473,0,801455,428767,112661,893082,5250972,467379,337559,7164487,837050,0,5281134,0,0,0,0,0,0,0,0,0,0,851146,5094214,0,610387,1986808,0,0,7043262,6892945,3112543,11549378,971474,3229407,10220,0,395929,372997,394598,938504,1056139,346422,251578
